agenzia,nome,cognome,s
ANSA,Luigi,Contu,M
Adnkronos,Davide,Desario,M
AGI - Agenzia Giornalistica Italia,Rita,Lofano,F
Askanews,Gianni,Todini,M
Inter press service,Farhana,Haque Rahman,F
Italpress,Gaspare,Borsellino,M
LaPresse,Alessia,Lautone,F
