num,nome,capitalizzazione,cap_al_3001,ceo,link,note,genere_ceo,presidente_cda,genere_presidente_cda
31,Diasorin,5991,5933,Carlo Rosa,https://int.diasorin.com/it/azienda/chi-siamo/top-management,,M,Michele Denegri,M
32,Telecom Italia ( ex Olivetti ),5209,5842,Pietro Labriola,https://www.gruppotim.it/it/gruppo/governance/consiglio-di-amministrazione/composizione.html,,M,Alberta Figari,F
33,Reply,5641,5818,Tatiana Rizzante,https://www.reply.com/it/investors/board-of-directors-and-other-corporate-bodies,,F,Mario Rizzante,M
34,Pirelli & C.,5025,5783,Andrea Casaluci,https://corporate.pirelli.com/corporate/it-it/governance/consiglio-di-amministrazione-e-organi-sociali/consiglio-di-amministrazione,,M,Jiao Jian,M
35,B. Generali,5101,5743,Gian Maria Mossa,https://www.bancagenerali.com/governance/management,,M,Antonio Cangeri,M
36,Hera,5230,5179,Orazio Iacono,https://www.gruppohera.it/gruppo/chi-siamo/struttura-organizzativa/i-nostri-manager,,M,Cristian Fabbri,M
37,Saipem,4857,4928,Alessandro Puliti,https://www.saipem.com/it/chi-siamo/top-management,,M,Elisabetta Serafin,F
38,Interpump,4699,4895,Fabio Marasi,https://www.interpumpgroup.it/en/governance/board-directors-and-committees,,M,"Fulvio Montipò",M
39,"De' Longhi",4218,4848,"Fabio de' Longhi",https://www.delonghigroup.com/it/governance/management,,M,"Giuseppe de' Longhi",M
40,Italgas,4578,4548,Paolo Gallo,https://www.italgas.it/investitori/governance/consiglio-di-amministrazione/,,M,Benedetta Navarra,F
41,Technoprobe,3839,4274,Stefano Felici,https://www.technoprobe.com/it/company/governance/organi-sociali,,M,Cristiano Alessandro Crippa,M
42,B.P. Sondrio,3222,3942,Mario Alberto Pedranzini,https://istituzionale.popso.it/it/profilo/top-management,,M,Francesco Venosta,M
43,Acea,3775,3938,Fabrizio Palermo,https://www.gruppo.acea.it/governance/consiglio-amministrazione,,M,Barbara Marinali,F
44,Credem,3422,3902,Angelo Campani,https://www.credem.it/content/credem/en/credem-group/press/profili-top-management.html,,M,Lucio Igino Zanon di Valgiurata,M
45,Azimut H.,3354,3675,Gabriele Blei,https://www.azimut.it/governance,,M,Pietro Giuliani,M
46,Lottomatica Group,3153,3514,Guglielmo Angelozzi,https://lottomaticagroup.com/it-it/home/governance/organi-sociali,,M,Andrea Moneta,M
47,Sol,3311,3477,Aldo Fumagalli Romario,https://www.solgroup.com/it/governance/organi-sociali,,M,same,M
48,Maire,,3165,Alessandro Bernini,https://www.groupmaire.com/it/chi-siamo/,,M,Fabrizio Di Amato,M
49,Webuild (Salini Impregilo),2667,3094,Pietro Salini,https://www.webuildgroup.com/en/governance/governance-system/management/,,M,Gian Luca Gregori,M
50,Brembo,2912,2958,Daniele Schillaci,https://www.brembogroup.com/it/investitori/dati-finanziari/consigli-di-amministrazione-e-comitati,,M,Matteo Tiraboschi,M
