testata,nome,cognme,sesso
Rainews,Paolo,Petrecca,M
TG1,Gian Marco,Chiocchi,M
TG2,Antonio,Preziosi,M
TG3,Pierluca,Terzulli,M
TG4,Gerardo,Greco,M
TG5,Clemente,Mimun,M
Studio Aperto,Andrea,Pucci,M
TG La7,Enrico,Mentana,M
Sky TG24,Giuseppe,De Bellis,M
Tgcom24,Alessandro Massimo,Nucara,M
