persona,cognome,nome,info,datanascita,luogonascita,s,collegio,lista,nomegruppo,numeromandati,aggiornamento
http://dati.camera.it/ocd/persona.rdf/p308942,PIZZIMENTI,GRAZIANO,Laurea in economia e commercio; Insegnante di scuola secondaria superiore,19610507,UDINE,male,FRIULI-VENEZIA GIULIA - P01,LEGA PER SALVINI PREMIER,LEGA - SALVINI PREMIER (18.10.2022),1,2025-01-25 13:12:40
http://dati.camera.it/ocd/persona.rdf/p308765,CANNATA,GIOVANNI LUCA,"Master in innovazione e management nella pubblica amministrazione; Dirigente pubblico, Dottore Commercialista, Revisore legale dei conti",19790517,SIRACUSA,male,SICILIA 2 - P03,,FRATELLI D'ITALIA (18.10.2022),1,2025-01-25 13:12:20
http://dati.camera.it/ocd/persona.rdf/p308820,CARMINA,IDA,Laurea in giurisprudenza; Avvocato,19631116,PALERMO,female,SICILIA 1 - P02,MOVIMENTO 5 STELLE,MOVIMENTO 5 STELLE (18.10.2022),1,2025-01-25 13:12:18
http://dati.camera.it/ocd/persona.rdf/p307683,DARA,ANDREA,,19790107,CASTEL GOFFREDO,male,LOMBARDIA 4 - P01,,LEGA - SALVINI PREMIER (18.10.2022),2,2025-01-25 13:12:09
http://dati.camera.it/ocd/persona.rdf/p307246,DONZELLI,GIOVANNI,,19751128,FIRENZE,male,TOSCANA - P03,FRATELLI D'ITALIA CON GIORGIA MELONI,FRATELLI D'ITALIA (18.10.2022),2,2025-01-25 13:12:44
http://dati.camera.it/ocd/persona.rdf/p307402,SIRACUSANO,MATILDE,"Laurea in scienze politiche, Master affari politici italiani; Imprenditore",19850426,MESSINA,female,PIEMONTE 2 - P02,FORZA ITALIA,FORZA ITALIA - BERLUSCONI PRESIDENTE - PPE (18.10.2022),2,2024-01-26 12:45:07
http://dati.camera.it/ocd/persona.rdf/p300319,CIRIELLI,EDMONDO,"Laurea in giurisprudenza, Laurea in scienze politiche, Laurea in scienze della sicurezza interna ed esterna; Generale di brigata dei Carabinieri della riserva",19640522,NOCERA INFERIORE,male,CAMPANIA 2 - P02,FRATELLI D'ITALIA CON GIORGIA MELONI,FRATELLI D'ITALIA (18.10.2022),6,2024-12-17 13:12:48
http://dati.camera.it/ocd/persona.rdf/p308790,BICCHIELLI,GIUSEPPE,"Laurea in scienze dell'economia,Consulente aziendale, Giornalista",19670331,NAPOLI,male,CAMPANIA 2 - P02,,NOI MODERATI (27.10.2022),1,2025-01-25 13:12:11
http://dati.camera.it/ocd/persona.rdf/p308810,GRIMALDI,MARCO,,19801108,TORINO,male,PIEMONTE 1 - P01,ALLEANZA VERDI E SINISTRA,ALLEANZA VERDI E SINISTRA (27.10.2022),1,2025-01-25 13:12:49
http://dati.camera.it/ocd/persona.rdf/p304521,RIXI,EDOARDO,Laurea in economia e commercio,19740608,GENOVA,male,LIGURIA - P01,,LEGA - SALVINI PREMIER (18.10.2022),3,2025-01-20 13:09:49
http://dati.camera.it/ocd/persona.rdf/p307863,PELLEGRINI,MARCO,"LAUREA IN INGEGNERIA CIVILE - EDILE; INGEGNERE, IMPRENDITORE",19640730,FOGGIA,male,PUGLIA - P01,,MOVIMENTO 5 STELLE (18.10.2022),1,2025-01-25 13:12:24
http://dati.camera.it/ocd/persona.rdf/p308832,AMBROSI,ALESSIA,"Diploma di liceo scientifico, Master in commercio estero; Dipendente di azienda bancaria",19820414,NEGRAR DI VALPOLICELLA,female,TRENTINO-ALTO ADIGE/SÜDTIROL - P01,FRATELLI D'ITALIA CON GIORGIA MELONI,FRATELLI D'ITALIA (18.10.2022),1,2025-01-25 13:12:00
http://dati.camera.it/ocd/persona.rdf/p306189,QUARTAPELLE PROCOPIO,LIA,Dottorato di ricerca in economia; Ricercatrice,19820815,VARESE,female,LOMBARDIA 1 - P01,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA (18.10.2022),3,2025-01-25 13:12:23
http://dati.camera.it/ocd/persona.rdf/p308221,PAVANELLI,EMMA,Parlamentare,19730319,CHIAVARI,female,UMBRIA - P01,MOVIMENTO 5 STELLE,MOVIMENTO 5 STELLE (18.10.2022),1,2025-01-25 13:12:27
http://dati.camera.it/ocd/persona.rdf/p308878,MONTEMAGNI,ELISA,Diploma di istituto tecnico per geometri; Geometra,19860601,VIAREGGIO,female,TOSCANA - P01,,LEGA - SALVINI PREMIER (18.10.2022),1,2025-01-25 13:12:45
http://dati.camera.it/ocd/persona.rdf/p308930,SCHLEIN,ELENA ETHEL,"Laurea in giurisprudenza; già Parlamentare europea, Amministratrice regionale, Vice Presidente Regione Emilia Romagna",19850504,LUGANO,female,EMILIA-ROMAGNA - P02,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA (18.10.2022),1,2022-11-10 12:02:40
http://dati.camera.it/ocd/persona.rdf/p308862,URZI',ALESSANDRO,Giornalista,19660507,BOLZANO,male,VENETO 2 - P02,FRATELLI D'ITALIA CON GIORGIA MELONI,FRATELLI D'ITALIA (18.10.2022),1,2025-01-25 13:12:39
http://dati.camera.it/ocd/persona.rdf/p302746,PELUFFO,VINICIO GIUSEPPE GUIDO,Laurea in scienze giuridiche; Dirigente di partito,19710321,RHO,male,LOMBARDIA 3 - P01,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA (18.10.2022),3,2025-01-25 13:12:18
http://dati.camera.it/ocd/persona.rdf/p308833,CONGEDO,SAVERIO,Laurea in economia e commercio; Commercialista e Revisiore dei conti,19650215,LECCE,male,PUGLIA - P04,,FRATELLI D'ITALIA (18.10.2022),1,2025-01-25 13:11:58
http://dati.camera.it/ocd/persona.rdf/p307306,ROSSI,ANDREA,Diploma di istituto tecnico industriale; già Sindaco di Casalgrande; già Sottosegretario alla presidenza giunta regionale dell'Emilia Romagna,19761009,SCANDIANO,male,EMILIA-ROMAGNA - P01,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA (18.10.2022),2,2025-01-25 13:12:02
http://dati.camera.it/ocd/persona.rdf/p307134,BAGNASCO,ROBERTO,"Laurea in farmacia, Master in bioetica; Farmacista",19500407,NOVI LIGURE,male,LIGURIA - P01,,FORZA ITALIA - BERLUSCONI PRESIDENTE - PPE (18.10.2022),2,2024-01-26 12:45:29
http://dati.camera.it/ocd/persona.rdf/p307464,MONTARULI,AUGUSTA,Laurea in giurisprudenza; Avvocato,19830914,TORINO,female,PIEMONTE 1 - P01,,FRATELLI D'ITALIA (18.10.2022),2,2025-01-25 13:12:39
http://dati.camera.it/ocd/persona.rdf/p307926,CONTE,GIUSEPPE,"Laurea in giurisprudenza; Professore universitario, Avvocato",19640808,VOLTURARA APPULA,male,LOMBARDIA 1 - P02,MOVIMENTO 5 STELLE,MOVIMENTO 5 STELLE (18.10.2022),1,2025-01-24 13:12:06
http://dati.camera.it/ocd/persona.rdf/p300447,LUPI,MAURIZIO ENZO,Laurea in scienze politiche; Dirigente di azienda privata,19591003,MILANO,male,LOMBARDIA 2 - P02,,NOI MODERATI (27.10.2022),6,2025-01-25 13:12:02
http://dati.camera.it/ocd/persona.rdf/p306160,BOSCHI,MARIA ELENA,"Laurea in giurisprudenza, Master in diritto societario; Avvocato in diritto societario",19810124,MONTEVARCHI,female,LAZIO 1 - P03,AZIONE - ITALIA VIVA - CALENDA,ITALIA VIVA-IL CENTRO-RENEW EUROPE (20.11.2023),3,2025-01-25 13:12:25
http://dati.camera.it/ocd/persona.rdf/p307223,PITTALIS,PIETRO,Laurea in giurisprudenza; Avvocato patrocinante presso le Magistrature superiori,19580430,CHARLEROI,male,SARDEGNA - P01,FORZA ITALIA,FORZA ITALIA - BERLUSCONI PRESIDENTE - PPE (18.10.2022),2,2025-01-25 13:12:42
http://dati.camera.it/ocd/persona.rdf/p307285,CAVANDOLI,LAURA,Dottorato di ricerca; Avvocato,19711215,PARMA,female,EMILIA-ROMAGNA - P01,,LEGA - SALVINI PREMIER (18.10.2022),2,2025-01-25 13:12:16
http://dati.camera.it/ocd/persona.rdf/p307456,BATTILOCCHIO,ALESSANDRO,"Laurea in giurisprudenza, Laurea in scienze politiche; Parlamentare",19770503,ROMA,male,LAZIO 1 - P03,,FORZA ITALIA - BERLUSCONI PRESIDENTE - PPE (18.10.2022),2,2025-01-25 13:12:03
http://dati.camera.it/ocd/persona.rdf/p307360,SASSO,ROSSANO,Insegnante,19750618,BARI,male,PUGLIA - P03,,LEGA - SALVINI PREMIER (18.10.2022),2,2025-01-25 13:12:11
http://dati.camera.it/ocd/persona.rdf/p308767,GALLO,FRANCESCO,Laurea in giurisprudenza; Avvocato patrocinante in cassazione; Giornalista pubblicista,19661103,MESSINA,male,SICILIA 2 - P01,,MISTO (18.10.2022),1,2025-01-25 13:12:07
http://dati.camera.it/ocd/persona.rdf/p308884,AMORESE,ALESSANDRO,Laurea in scienze politiche; Editore,19741008,CARRARA,male,TOSCANA - P01,FRATELLI D'ITALIA CON GIORGIA MELONI,FRATELLI D'ITALIA (18.10.2022),1,2025-01-25 13:12:05
http://dati.camera.it/ocd/persona.rdf/p308851,SCHIFONE,MARTA,"Laurea in farmacia, Scuola di specializzazione scienze e tecniche cosmetiche; Farmacista titolare",19801009,NAPOLI,female,CAMPANIA 1 - P02,FRATELLI D'ITALIA CON GIORGIA MELONI,FRATELLI D'ITALIA (18.10.2022),1,2025-01-25 13:12:37
http://dati.camera.it/ocd/persona.rdf/p308801,BOF,GIANANGELO,,19750107,VITTORIO VENETO,male,VENETO 1 - P01,LEGA PER SALVINI PREMIER,LEGA - SALVINI PREMIER (18.10.2022),1,2025-01-25 13:12:12
http://dati.camera.it/ocd/persona.rdf/p307575,MASCHIO,CIRO,Laurea in giurisprudenza; Avvocato,19710723,NEGRAR,male,VENETO 2 - P03,,FRATELLI D'ITALIA (18.10.2022),2,2024-01-26 12:44:36
http://dati.camera.it/ocd/persona.rdf/p308846,AURIEMMA,CARMELA,"Laurea in giurisprudenza, Master in diritto ambientale, Corso di perfezionamento di tutela dei diritti dinnazi alla Corte di giustizia europea, Corso di perfezionamento in diritto d'impresa; Avvocato specializzato in diritto dell'Ue.",19810703,MADDALONI,female,CAMPANIA 1 - P02,,MOVIMENTO 5 STELLE (18.10.2022),1,2025-01-25 13:12:24
http://dati.camera.it/ocd/persona.rdf/p308763,CARLONI,MIRCO,"Laurea in scienze giuridiche, Laurea in giurisprudenza; Professore a contratto di discipline economiche; Imprenditore",19810114,FANO,male,MARCHE - P01,,LEGA - SALVINI PREMIER (18.10.2022),1,2024-01-26 12:45:19
http://dati.camera.it/ocd/persona.rdf/p307388,D'ORSO,VALENTINA,"Laurea in giurisprudenza; Diploma di specializzazione per le professioni legali, Avvocato",19800729,PALERMO,female,SICILIA 1 - P01,MOVIMENTO 5 STELLE,MOVIMENTO 5 STELLE (18.10.2022),2,2025-01-25 13:12:20
http://dati.camera.it/ocd/persona.rdf/p307312,D'ATTIS,MAURO,"Laurea in economia bancaria, finanziaria e assicurativa; Consulente aziendale",19730730,GALATINA,male,PUGLIA - P04,,FORZA ITALIA - BERLUSCONI PRESIDENTE - PPE (18.10.2022),2,2025-01-24 13:11:31
http://dati.camera.it/ocd/persona.rdf/p35980,CIOCCHETTI,LUCIANO,"Diploma di liceo scientifico, Laurea in scienze politiche e delle relazioni internazionali; Giornalista",19580303,ROMA,male,LAZIO 1 - P03,,FRATELLI D'ITALIA (18.10.2022),4,2025-01-25 13:12:25
http://dati.camera.it/ocd/persona.rdf/p301457,FRASSINETTI,PAOLA,Laurea in giurisprudenza; Avvocato,19560502,GENOVA,female,LOMBARDIA 1 - P02,,FRATELLI D'ITALIA (18.10.2022),4,2024-01-26 12:45:01
http://dati.camera.it/ocd/persona.rdf/p308787,GIORGIANNI,CARMEN LETIZIA,"Laurea in filosofia, Master in ""Esperto in cultura di impresa"" conseguito presso la facoltà di Economia e commercio di Collescipoli (TR); Giornalista, Consulente in materia economica e finanziaria per il gruppo parlamentare FDI",19770626,SARTEANO,female,CAMPANIA 2 - P01,,FRATELLI D'ITALIA (18.10.2022),1,2025-01-25 13:12:34
http://dati.camera.it/ocd/persona.rdf/p308910,ALMICI,CRISTINA,Laurea in economia e commercio; Dottore commercilista e revisore dei conti,19690626,BRESCIA,female,LOMBARDIA 3 - P02,FRATELLI D'ITALIA CON GIORGIA MELONI,FRATELLI D'ITALIA (18.10.2022),1,2025-01-25 13:12:44
http://dati.camera.it/ocd/persona.rdf/p307300,MORRONE,JACOPO,Laurea in giurisprudenza; Avvocato,19830123,FORLI',male,EMILIA-ROMAGNA - P03,,LEGA - SALVINI PREMIER (18.10.2022),2,2025-01-25 13:12:45
http://dati.camera.it/ocd/persona.rdf/p308843,DI BIASE,MICHELA,,19801017,ROMA,female,LAZIO 1 - P02,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA (18.10.2022),1,2025-01-25 13:12:38
http://dati.camera.it/ocd/persona.rdf/p307602,FORMENTINI,PAOLO,Diploma di liceo classico,19800430,DESENZANO DEL GARDA,male,LOMBARDIA 3 - P02,LEGA PER SALVINI PREMIER,LEGA - SALVINI PREMIER (18.10.2022),2,2025-01-25 13:12:41
http://dati.camera.it/ocd/persona.rdf/p307475,GUSMEROLI,ALBERTO LUIGI,Laurea in economia indirizzo finanza aziendale e credito; Commercialista e revisore dei conti,19610227,VARESE,male,PIEMONTE 2 - P01,,LEGA - SALVINI PREMIER (18.10.2022),2,2025-01-25 13:12:31
http://dati.camera.it/ocd/persona.rdf/p308877,ROSSI,FABRIZIO,"Laurea in giurisprudenza;Avvocato civilista e penalista, Vicesindaco del Comune di Grosseto, Assessore all'Urbanistica, Sport, Società partecipate",19750302,MONTALCINO,male,TOSCANA - P02,,FRATELLI D'ITALIA (18.10.2022),1,2025-01-25 13:12:12
http://dati.camera.it/ocd/persona.rdf/p308934,MALAVASI,ILENIA,"Laurea in lettere classiche, Scuola di Specializzazione in Archeologia; Sindaco",19711022,CORREGGIO,female,EMILIA-ROMAGNA - P01,,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA (18.10.2022),1,2025-01-25 13:11:57
http://dati.camera.it/ocd/persona.rdf/p308881,FOSSI,EMILIANO,Laurea in scienze politiche; già Sindaco comune di Campi Bisenzio,19730902,FIRENZE,male,TOSCANA - P03,,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA (18.10.2022),1,2025-01-25 13:12:47
http://dati.camera.it/ocd/persona.rdf/p308805,BALDELLI,ANTONIO,Laurea in giurisprudenza; Avvocato,19710624,ANCONA,male,MARCHE - P01,FRATELLI D'ITALIA CON GIORGIA MELONI,FRATELLI D'ITALIA (18.10.2022),1,2025-01-25 13:12:25
http://dati.camera.it/ocd/persona.rdf/p308848,ROSSI,ANGELO,Laurea in scienze dell'amministrazione; Funzionario pubblico,19760223,ROMA,male,LAZIO 1 - P03,FRATELLI D'ITALIA CON GIORGIA MELONI,FRATELLI D'ITALIA (18.10.2022),1,2025-01-25 13:12:14
http://dati.camera.it/ocd/persona.rdf/p308811,LA SALANDRA,GIANDONATO,Laurea in giurisprudenza; Avvocato civilista,19780929,FOGGIA,male,PUGLIA - P01,FRATELLI D'ITALIA CON GIORGIA MELONI,FRATELLI D'ITALIA (18.10.2022),1,2025-01-25 13:12:03
http://dati.camera.it/ocd/persona.rdf/p50204,FOTI,TOMMASO,Diploma di liceo scientifico; Già dirigente di azienda privata,19600428,PIACENZA,male,EMILIA-ROMAGNA - P01,,FRATELLI D'ITALIA (18.10.2022),6,2025-01-25 13:12:25
http://dati.camera.it/ocd/persona.rdf/p308871,GHIO,VALENTINA,Laurea in lettere moderne; Funzionario settore formazione e politiche del lavoro regione Liguria,19710505,SESTRI LEVANTE,female,LIGURIA - P01,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA (18.10.2022),1,2025-01-25 13:12:27
http://dati.camera.it/ocd/persona.rdf/p307604,BENIGNI,STEFANO,Diploma di liceo scientifico; Consulente finanziario,19870716,ALZANO LOMBARDO,male,LOMBARDIA 2 - P02,FORZA ITALIA,FORZA ITALIA - BERLUSCONI PRESIDENTE - PPE (18.10.2022),2,2025-01-25 13:12:14
http://dati.camera.it/ocd/persona.rdf/p308927,RUSSO,GAETANA,Laurea in giurisprudenza; Funzionario amministrativo contabile del MIMS,19810425,FIDENZA,female,EMILIA-ROMAGNA - P01,FRATELLI D'ITALIA CON GIORGIA MELONI,FRATELLI D'ITALIA (18.10.2022),1,2025-01-25 13:12:37
http://dati.camera.it/ocd/persona.rdf/p309161,BOSCAINI,MARIA PAOLA,Laurea in economia aziendale,19540922,BUSSOLENGO,female,VENETO 2 - P03,FORZA ITALIA,FORZA ITALIA - BERLUSCONI PRESIDENTE - PPE (09.07.2024),1,2025-01-24 13:12:01
http://dati.camera.it/ocd/persona.rdf/p308806,DE PALMA,VITO,Laurea in scienze della pubblica amministrazione; funzionario pubblica amministrazione,19661113,GINOSA,male,PUGLIA - P03,FORZA ITALIA,FORZA ITALIA - BERLUSCONI PRESIDENTE - PPE (18.10.2022),1,2025-01-25 13:12:40
http://dati.camera.it/ocd/persona.rdf/p307726,TUCCI,RICCARDO,Diploma di istituto professionale per i servizi alberghieri e ristorazione; Rappresentante di commercio,19860508,BAD SODEN AM TAUNUS,male,CALABRIA - P01,MOVIMENTO 5 STELLE,MOVIMENTO 5 STELLE (18.10.2022),2,2024-01-26 12:45:12
http://dati.camera.it/ocd/persona.rdf/p307162,CAIATA,SALVATORE,Laurea in scienze dell'economia; Imprenditore,19700729,POTENZA,male,BASILICATA - P01,,FRATELLI D'ITALIA (18.10.2022),2,2025-01-25 13:12:31
http://dati.camera.it/ocd/persona.rdf/p302968,POLIDORI,CATIA,"Laurea in economia bancaria, dottorato di ricerca in Scienze della formazione; Imprenditore, Professore universitario",19670703,CITTA' DI CASTELLO,female,UMBRIA - P01,FORZA ITALIA,FORZA ITALIA - BERLUSCONI PRESIDENTE - PPE (18.10.2022),4,2025-01-25 13:12:47
http://dati.camera.it/ocd/persona.rdf/p308764,CIANCITTO,FRANCESCO MARIA SALVATORE,Laurea in medicina e chirurgia; Odontoiatra,19670317,CATANIA,male,SICILIA 2 - P02,,FRATELLI D'ITALIA (18.10.2022),1,2025-01-25 13:12:09
http://dati.camera.it/ocd/persona.rdf/p308798,NORDIO,CARLO,Laurea in giurisprudenza; Procuratore aggiunto della Repubblica,19470206,TREVISO,male,VENETO 1 - P01,,FRATELLI D'ITALIA (18.10.2022),1,2025-01-20 13:09:52
http://dati.camera.it/ocd/persona.rdf/p306176,MAURI,MATTEO,Laurea in scienze politiche; Dirigente di partito,19700524,MILANO,male,LOMBARDIA 1 - P02,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA (18.10.2022),3,2025-01-25 13:12:04
http://dati.camera.it/ocd/persona.rdf/p305880,FRATOIANNI,NICOLA,Laurea in lettere e filosofia,19721004,PISA,male,TOSCANA - P03,ALLEANZA VERDI E SINISTRA,ALLEANZA VERDI E SINISTRA (27.10.2022),3,2025-01-25 13:12:35
http://dati.camera.it/ocd/persona.rdf/p307752,BATTISTONI,FRANCESCO,"Laurea in scienze politiche e delle relazioni internazionali; Parlamentare, Giornalista pubblicista",19670223,MONTEFIASCONE,male,MARCHE - P01,,FORZA ITALIA - BERLUSCONI PRESIDENTE - PPE (18.10.2022),1,2025-01-25 13:12:22
http://dati.camera.it/ocd/persona.rdf/p308869,MARI,FRANCESCO,Diploma di istituto magistrale; Insegnante di scuola primaria,19620904,SALERNO,male,CAMPANIA 2 - P02,ALLEANZA VERDI E SINISTRA,ALLEANZA VERDI E SINISTRA (27.10.2022),1,2025-01-25 13:11:57
http://dati.camera.it/ocd/persona.rdf/p308857,BORRELLI,FRANCESCO EMILIO,Giornalista professionista,19730814,NAPOLI,male,CAMPANIA 1 - P02,ALLEANZA VERDI E SINISTRA,ALLEANZA VERDI E SINISTRA (27.10.2022),1,2025-01-25 13:12:42
