persona,cognome,nome,info,datanascita,luogonascita,s,collegio,lista,nomegruppo,numeromandati,aggiornamento
http://dati.camera.it/ocd/persona.rdf/p308938,MALAGUTI,MAURO,Laurea in Lettere; Giornalista,19600301,FERRARA,male,EMILIA-ROMAGNA - P03,,FRATELLI D'ITALIA (18.10.2022),1,2025-01-25 13:12:40
http://dati.camera.it/ocd/persona.rdf/p302818,GRAZIANO,STEFANO,Laurea in ingegneria civile e ambientale; Ingegnere,19710913,AVERSA,male,CAMPANIA 2 - P01,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA (18.10.2022),2,2025-01-25 13:12:18
http://dati.camera.it/ocd/persona.rdf/p308808,DI MATTINA,SALVATORE MARCELLO,"Commercialista, Imprenditore turistico;",19700105,TAVIANO,male,PUGLIA - P04,LEGA PER SALVINI PREMIER,LEGA - SALVINI PREMIER (18.10.2022),1,2025-01-25 13:12:06
http://dati.camera.it/ocd/persona.rdf/p308893,EVI,ELEONORA,"Master in strategic design, LAUREA MAGISTRALE IN SERVICE DESIGN; Parlamentare",19831120,MILANO,female,LOMBARDIA 1 - P01,ALLEANZA VERDI E SINISTRA,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA (23.04.2024),1,2025-01-25 13:12:34
http://dati.camera.it/ocd/persona.rdf/p305698,DE MARIA,ANDREA,Diploma di liceo scientifico; Dirigente di partito,19661005,BAZZANO,male,EMILIA-ROMAGNA - P02,,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA (18.10.2022),3,2025-01-25 13:12:15
http://dati.camera.it/ocd/persona.rdf/p308821,IACONO,GIOVANNA,Laurea in archivistica e biblioteconomia; Libero professionista,19830614,AGRIGENTO,female,SICILIA 1 - P02,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA (18.10.2022),1,2025-01-25 13:12:29
http://dati.camera.it/ocd/persona.rdf/p307630,FRASSINI,REBECCA,Laurea in economia; Dipendente di azienda privata,19881124,CALCINATE,female,LOMBARDIA 3 - P01,,LEGA - SALVINI PREMIER (18.10.2022),2,2025-01-25 13:12:43
http://dati.camera.it/ocd/persona.rdf/p307571,STEFANI,ALBERTO,Laurea in giurisprudenza; Consulente legale,19921116,CAMPOSAMPIERO,male,VENETO 2 - P01,,LEGA - SALVINI PREMIER (18.10.2022),2,2025-01-25 13:12:50
http://dati.camera.it/ocd/persona.rdf/p308817,STEFANAZZI,CLAUDIO MICHELE,Laurea in giurisprudenza; Avvocato giurista d'impresa,19700508,TRICASE,male,PUGLIA - P04,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA (18.10.2022),1,2025-01-25 13:11:59
http://dati.camera.it/ocd/persona.rdf/p308786,CANGIANO,GEROLAMO,"Laurea in giurisprudenza, Dottorato di ricerca; Imprenditore",19810319,GENOVA,male,CAMPANIA 2 - P01,,FRATELLI D'ITALIA (18.10.2022),1,2025-01-25 13:12:33
http://dati.camera.it/ocd/persona.rdf/p307435,BALDINO,VITTORIA,Avvocato,19880528,ROSSANO,female,CALABRIA - P01,MOVIMENTO 5 STELLE,MOVIMENTO 5 STELLE (18.10.2022),2,2025-01-25 13:12:21
http://dati.camera.it/ocd/persona.rdf/p308890,BARABOTTI,ANDREA,Diploma di istituto tecnico commerciale; Responsabile di segreteria Consiglio Regionale Toscana,19850914,MASSA,male,TOSCANA - P01,LEGA PER SALVINI PREMIER,LEGA - SALVINI PREMIER (18.10.2022),1,2025-01-25 13:12:16
http://dati.camera.it/ocd/persona.rdf/p308861,GHIRRA,FRANCESCA,Funzionario Regione Sardegna,19780725,CAGLIARI,female,SARDEGNA - P01,ALLEANZA VERDI E SINISTRA,ALLEANZA VERDI E SINISTRA (27.10.2022),1,2025-01-25 13:12:32
http://dati.camera.it/ocd/persona.rdf/p308941,MATTEONI,NICOLE,Laurea in scienze politiche e delle relazioni internazionali; Dipendente pubblico,19871224,TRIESTE,female,FRIULI-VENEZIA GIULIA - P01,FRATELLI D'ITALIA CON GIORGIA MELONI,FRATELLI D'ITALIA (18.10.2022),1,2025-01-25 13:12:46
http://dati.camera.it/ocd/persona.rdf/p308905,MAERNA,NOVO UMBERTO,Laurea in ingegneria; DIRIGENTE D'AZIENDA,19560906,MILANO,male,LOMBARDIA 2 - P02,FRATELLI D'ITALIA CON GIORGIA MELONI,FRATELLI D'ITALIA (18.10.2022),1,2025-01-25 13:12:36
http://dati.camera.it/ocd/persona.rdf/p200291,DE CORATO,RICCARDO,Diploma di istituto tecnico commerciale; Dipendente pubblico,19511101,ANDRIA,male,LOMBARDIA 1 - P01,,FRATELLI D'ITALIA (18.10.2022),3,2025-01-25 13:12:38
http://dati.camera.it/ocd/persona.rdf/p307782,D'ALFONSO,LUCIANO,"Laurea in scienze politiche, Laurea in filosofia, Laurea in giurisprudenza, Laurea in scienze dell'amministrazione, Dottorato di ricerca in decisione pubblica; Quadro intermedio",19651213,LETTOMANOPPELLO,male,ABRUZZO - P01,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA (18.10.2022),1,2024-01-26 12:45:12
http://dati.camera.it/ocd/persona.rdf/p308780,RICCIARDI,TONI,"Laurea in scienze politiche, Dottorato di ricerca; Professore associato di storia delle migrazioni e delle catastrofi",19771220,ATRIPALDA,male,EUROPA,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA (18.10.2022),1,2025-01-25 13:12:02
http://dati.camera.it/ocd/persona.rdf/p308783,DI SANZO,CHRISTIAN DIEGO,"Laurea in ingegneria energetica e nucleare, Master (M.S.) in ingegneria meccanica, Dottorato di ricerca (Ph.D.) in ingegneria nucleare ; Consulente manageriale",19821118,PRATO,male,AMERICA SETTENTRIONALE E CENTRALE,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA (18.10.2022),1,2025-01-24 13:11:52
http://dati.camera.it/ocd/persona.rdf/p306158,CASTIGLIONE,GIUSEPPE,Diploma di liceo classico; Giornalista,19631005,BRONTE,male,SICILIA 2 - P02,AZIONE - ITALIA VIVA - CALENDA,FORZA ITALIA - BERLUSCONI PRESIDENTE - PPE (14.05.2024),2,2025-01-25 13:12:40
http://dati.camera.it/ocd/persona.rdf/p307420,CAPARVI,VIRGINIO,Laurea in scienze e trecnologie informatiche,19820925,FOLIGNO,male,UMBRIA - P01,,LEGA - SALVINI PREMIER (18.10.2022),2,2025-01-25 13:12:28
http://dati.camera.it/ocd/persona.rdf/p307151,BILLI,SIMONE,Laurea in ingegneria industriale; manager aziendale,19760211,FIRENZE,male,EUROPA,LEGA PER SALVINI PREMIER - FORZA ITALIA - FRATELLI D'ITALIA,LEGA - SALVINI PREMIER (18.10.2022),2,2025-01-25 13:12:31
