nome,s,ruolo
Albrecht Benno,M,"Rettore Università Iuav di Venezia"
Alesse Edoardo,M,"Rettore Università dell'Aquila"
Ambrosio Luigi,M,Direttore Scuola Normale Superiore di Pisa
"Barrajón Pedro",M,"Rettore Università Europea di Roma"
Beccalli Elena,F,Rettrice Milano Cattolica
Billari Francesco,M,"Rettore Università di Milano Bocconi"
Boccardelli Paolo,M,Rettore LUISS Roma
Bonini Francesco,M,Rettore LUMSA
Brambilla Marina,F,"Rettrice Università Statale di Milano"
Bronzini Stefano,M,"Rettore Università di Bari Aldo Moro"
Brunese Luca,M,"Rettore Università del Molise"
Calcagnini Giorgio,M,"Rettore Università di Urbino"
Canfora Gerardo,M,"Rettore Università del Sannio"
Casini Lorenzo,M,Rettore Scuola IMT Alti Studi Lucca
Castelli Francesco,M,"Rettore Università di Brescia"
Cavalieri Sergio,M,"Rettore Università di Bergamo"
Ceretta Manuela,F,"Rettrice Università della Valle d’Aosta"
Corgnati Stefano Paolo,M,Rettore Politecnico di Torino
Corsi Christian,M,"Rettore Università di Teramo"
Cuda Giovanni,M,"Rettore Università ""Magna Graecia"" di Catanzaro"
Cupertino Francesco,M,Rettore Politecnico di Bari
"d'Alessandro Lucio",M,"Rettore Università Suor Orsola Benincasa"
De Cesaris Valerio,M,"Rettore Università per Stranieri di Perugia"
Deflorian Flavio,M,"Rettore Università degli studi di Trento"
Delfino Federico,M,"Rettore Università di Genova"
"Dell'Isola Marco",M,"Rettore Università degli Studi di Cassino e del Lazio Meridionale"
Di Lenarda Roberto,M,"Rettore Università di Trieste"
Di Pietra Roberto,M,"Rettore Università di Siena"
Fiorucci Massimiliano,M,"Rettore Università di Roma Tre"
Garavaglia Valentina,F,Rettrice IULM Milano
Garofalo Antonio,M,"Rettore Università Parthenope Napoli"
Garzoni Antonello,M,Rettore Bari LUM
Gervasoni Anna,F,"Rettrice Università Carlo Cattaneo"
Geuna Stefano,M,"Rettore Università di Torino"
Gherlone Felice Enrico,M,"Rettore Università Vita Salute S. Raffaele"
Giusti Carlo Alberto,M,Rettore Link Campus University Roma
Gregori Gian Luca,M,"Rettore Università Politecnica delle Marche"
Guglielmelli Eugenio,M,"Rettore Università Campus Bio"
Iannantuoni Giovanna,F,"Rettrice Università di Milano Bicocca"
Inverardi Paola,F,Rettrice Gran Sasso Science Institute GSSI
Leone Nicola,M,"Rettore Università della Calabria"
Leoni Graziano,M,"Rettore Università di Camerino"
Levialdi Ghiron Nathan,M,"Rettore Università di Roma Tor Vergata"
Lippiello Tiziana,F,"Rettrice Università Ca’ Foscari Venezia"
Lo Muzio Lorenzo,M,"Rettore Università di Foggia"
Loia Vincenzo,M,"Rettore Università di Salerno"
Lorito Matteo,M,Rettore Federico II Napoli
Mancini Ignazio Marcello,M,Rettore della Basilicata
Mapelli Daniela,F,"Rettrice Università di Padova"
Mariotti Gavino,M,"Rettore Università di Sassari"
Martelli Paolo,M,"Rettore Università di Parma"
McCourt John Francis,M,"Rettore Università di Macerata"
Midiri Massimo,M,"Rettore Università di Palermo"
Mola Francesco,M,"Rettore Università di Cagliari"
Molari Giovanni,M,Rettore di Bologna
Montanari Tomaso,M,"Rettore Università per Stranieri di Siena"
Nicoletti Giovanni Francesco,M,"Rettore Università degli Studi della Campania ""Luigi Vanvitelli"""
Nocini Pierfrancesco,M,"Rettore Università di Verona"
Nuti Sabina,F,"Rettrice Scuola Superiore Sant’Anna"
Oliviero Maurizio,M,"Rettore Università di Perugia"
Parisi Attilio,M,"Rettore Università di Roma Foro Italico"
Perullo Nicola,M,"Rettore Università degli Studi di Scienze Gastronomiche"
Petrucci Alessandra,F,"Rettrice Università di Firenze"
Pierro Maria,F,"Rettrice Università dell'Insubria"
Pietrabissa Riccardo,M,Rettore Istituto Universitario di Studi Superiori di Pavia
Pinton Roberto,M,"Rettore Università di Udine"
Polimeni Antonella,F,"Rettrice della Sapienza Università di Roma"
Pollice Fabio,M,"Rettore Università del Salento"
Porro Carlo Adolfo,M,"Rettore Università di Modena e Reggio Emilia"
Priolo Francesco,M,"Rettore Università di Catania"
Ramaciotti Laura,F,"Rettrice Università di Ferrara"
Rizzi Menico,M,"Rettore Università Piemonte Orientale A. Avogadro"
Romanino Andrea,M,Direttore Scuola Internazionale Superiore di Studi Avanzati
Russo Mariagrazia,F,"Rettrice Università degli Studi Internazionali di Roma"
Sciuto Donatella,F,Rettrice Politecnico di Milano
Spatari Giovanna,F,"Rettrice Università di Messina"
Stuppia Liborio,M,"Rettore Università di Chieti"
Svelto Francesco,M,"Rettore Università di Pavia"
Terracciano Luigi Maria,M,Rettore Humanitas University
Tomasello Francesco,M,"Rettore Libera Università degli Studi di Enna ""Kore"""
Tottoli Roberto,M,"Rettore L'Orientale di Napoli"
Ubertini Stefano,M,"Rettore Università della Tuscia"
Weissensteiner Alex,M,"Rettore Libera Università di Bolzano"
Zimbalatti Giuseppe,M,Rettore di Reggio Calabria
Zucchi Riccardo,M,"Rettore Università di Pisa"
