n,societa,nome,cognome,ruolo,sesso,link
1,Alerion Cleanpower,Josef,Gostner,Presidente e AD,M,https://www.alerion.it/governance/
2,Antares Vision,Gianluca,Mazzantini,AD e Direttore Generale,M,https://antaresvisiongroup.com/it/governance/struttura-di-governance/consiglio-di-amministrazione-di-antares-vision-s-p-a/
3,Diasorin,Carlo,Rosa,CEO,M,https://int.diasorin.com/it/azienda/chi-siamo/top-management
4,Digital Bros,Abramo,Galante,Presidente e AD,M,https://digitalbros.com/it/governance/organi-societari/
5,Digital Value,Riccardo,Benedini,CEO,M,https://www.digitalvalue.it/en/corporate-governance/management-council/
6,El.En.,Andrea,Cangioli,Consigliere Delegato,M,"Consigliere delegato insieme a Gabriele Clementi, Presidente e Consigliere Delegato https://elengroup.com/modello-di-governance/"
7,FinecoBank,Alessandro,Foti,AD e Direttore Generale,M,https://about.finecobank.com/it/management/
8,GVS,Massimo,Scagliarini,AD,M,https://www.gvs.com/it/governance/consiglio-di-amministrazione/
9,Illimity Bank,Corrado,Passera,CEO,M,https://www.illimity.com/it/management
10,MutuiOnline,Alessandro,Fracassi,AD,M,https://www.mutuionline.it/news/redazione/marco-pescarmona.asp
11,Nexi,Paolo,Bertoluzzo,CEO,M,https://www.nexi.it/content/nexi/en/about-us/brand/top-management.html?srsltid=AfmBOor8TO1rKy7BuioMi856T2OtKubH2z_IPepZQUeiaZmfJXFFi5rV
12,Philogen,Dario,Neri,"CEO & CSO, Co-founder",M,https://www.philogen.com/about-us/management/
13,Reply,Tatiana,Rizzante,AD,F,https://www.reply.com/it/investors/board-of-directors-and-other-corporate-bodies
14,Seco,Massimo,Mauri,CEO,M,https://corporate.seco.com/Investors/it/corporate-governance/consiglio-di-amministrazione/10.31/
15,SeSa,Alessandro,Fabbroni,AD,M,https://www.sesa.it/governance/consiglio-damministrazione/
16,STMicroelectronics,Jean-Marc,Chery,President & CEO,M,https://investors.st.com/governance/leadership
17,Technoprobe,Stefano,Felici,AD,M,https://www.technoprobe.com/it/company/governance/organi-sociali
18,Tinexta,Pier Andrea,Chevallard,AD,M,https://tinexta.com/it-IT/company/management
19,Wiit,Alessandro,Cozzi,CEO,M,https://www.wiit.cloud/company/corporate-governance/board-of-directors/
