senatore,nome,cognome,s,iniziomandato,legislatura,tipomandato
http://dati.senato.it/senatore/32,Maria Elisabetta,Alberti Casellati,F,2022-10-13,19,elettivo
http://dati.senato.it/senatore/32578,Alessandro,Alfieri,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/36381,Vincenza,Aloisio,F,2022-10-13,19,elettivo
http://dati.senato.it/senatore/36382,Paola,Ambrogio,F,2022-10-13,19,elettivo
http://dati.senato.it/senatore/31010,Bartolomeo,Amidei,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/36383,Renato,Ancorotti,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/17542,Alberto,Balboni,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/32583,Alberto,Barachini,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/36431,Michele,Barcaiuolo,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/29270,Lorenzo,Basso,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/29273,Alfredo,Bazoli,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/32586,Giorgio Maria,Bergesio,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/25558,Anna Maria,Bernini,F,2022-10-13,19,elettivo
http://dati.senato.it/senatore/36384,Gianni,Berrino,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/36385,Dolores,Bevilacqua,F,2022-10-13,19,elettivo
http://dati.senato.it/senatore/22871,Michaela,Biancofiore,F,2022-10-13,19,elettivo
http://dati.senato.it/senatore/32851,Anna,Bilotti,F,2022-10-13,19,elettivo
http://dati.senato.it/senatore/36386,Mara,Bizzotto,F,2022-10-13,19,elettivo
http://dati.senato.it/senatore/25555,Francesco,Boccia,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/22877,Giulia,Bongiorno,F,2022-10-13,19,elettivo
http://dati.senato.it/senatore/29291,Mario Alejandro,Borghese,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/29292,Stefano,Borghesi,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/33070,Claudio,Borghi,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/29293,Enrico,Borghi,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/32590,Lucia,Borgonzoni,F,2022-10-13,19,elettivo
http://dati.senato.it/senatore/32856,Carmela,Bucalo,F,2022-10-13,19,elettivo
http://dati.senato.it/senatore/407,Alessio,Butti,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/34485,Nicola,Calandrini,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/422,Roberto,Calderoli,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/30110,Carlo,Calenda,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/36432,Susanna Donatella,Campione,F,2022-10-13,19,elettivo
http://dati.senato.it/senatore/36392,Susanna Lina Giulia,Camusso,F,2022-10-13,19,elettivo
http://dati.senato.it/senatore/32862,Gianluca,Cantalamessa,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/32598,Maria Cristina,Cantu',F,2022-10-13,19,elettivo
http://dati.senato.it/senatore/520,Pier Ferdinando,Casini,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/36388,Guido,Castelli,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/32600,Maria Domenica,Castellone,F,2022-10-13,19,elettivo
http://dati.senato.it/senatore/33065,Roberto,Cataldi,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/30511,Elena,Cattaneo,F,2022-10-13,19,"a vita, di nomina del Presidente della Repubblica"
http://dati.senato.it/senatore/29067,Gian Marco,Centinaio,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/32603,Luca,Ciriani,M,2022-10-13,19,elettivo
http://dati.senato.it/senatore/22910,Giulia,Cosenza,F,2022-10-13,19,elettivo
http://dati.senato.it/senatore/22914,Stefania Gabriella Anastasia,Craxi,F,2022-10-13,19,elettivo
http://dati.senato.it/senatore/36387,Andrea,Crisanti,M,2022-10-13,19,elettivo
