situazione,societa_amministratore_delegato_o_ceo,nome,cognome,sesso,note,hyperlink
Quotata,"Banca Monte Paschi di Siena S.p.A.(11,731%)",Luigi,Lovaglio,M,,https://www.gruppomps.it/corporate-governance/index.html
Quotata,"Enav spa (53,28%)",Pasqualino,Monti,M,,https://www.gruppomps.it/corporate-governance/index.html
Quotata,"Enel spa (23,59%)",Flavio,Cattaneo,M,,https://www.enav.it/sites/public/it/Governance/Governance.html
Quotata,"Eni spa (1,997%) [Cassa depositi e prestiti spa detiene una partecipazione del 28,503% ]",Claudio,Descalzi,M,,https://www.enel.com/it/investors1
Quotata,"Leonardo spa (30,20%)",Roberto,Cingolani,M,,https://www.eni.com/it_IT/azienda/governance.page
Quotata,"Poste italiane spa (29,26%) [Cassa depositi e prestiti spa detiene una partecipazione del 35% ]",Matteo,Del Fante,M,,http://www.leonardocompany.com/chi-siamo-about-us/corporate-governance
strumenti quotati,"Amco spa - Asset management company spa (99,78%)",Andrea,Munari,M,,https://www.posteitaliane.it/it/chi-siamo.html
strumenti quotati,Agenzia Nazionale per l’Attrazione degli Investimenti e lo Sviluppo d’impresa spa (Invitalia) (100%),Bernardo,Mattarella,M,,https://www.amco.it/investor-relations/
strumenti quotati,"Cdp - Cassa depositi e prestiti spa (82,77%)",Dario,Scannapieco,M,,https://www.invitalia.it/chi-siamo/il-management
strumenti quotati,Fs - Ferrovie dello Stato Italiane spa. (100%),Stefano Antonio,Donnarumma,M,,https://www.cdp.it/chi-siamo/governance/governance.kl
strumenti quotati,"Rai - Radio televisione italiana spa (99,56%)",Giampaolo,Rossi,M,,https://www.fsitaliane.it/content/fsitaliane/it/il-gruppo-fs/organi-sociali.html
strumenti quotati,Sace spa (100%),Alessandra,Ricci,F,,http://www.rai.it/trasparenza/
non quotata,Acque del Sud SpA (100%) - Statuto,Luigi Giuseppe,Decollanz,M,Pres CdA,https://www.sace.it/
non quotata,Autostrade dello Stato S.p.A (100%),Roberto,Tomasi,M,,https://acquedelsudspa.it/
non quotata,"Arexpo spa (39,28%)",Igor,De Biasio,M,,https://www.autostradestato.it/
non quotata,Cinecittà S.p.A. (100%),Manuela,Cacciamani,F,,https://www.arexpo.it/
non quotata,Consap - Concessionaria servizi assicurativi pubblici spa (100%),Vincenzo,Sanasi d'Arpe,M,,https://cinecitta.com/
non quotata,Consip spa. (100%),Marco,Reggiani,M,,https://www.consap.it/chi-siamo/
non quotata,Enit (100%),Ivana,Jelinic,F,,https://www.consip.it/
non quotata,Equitalia giustizia spa(100%),Marco,Achilli,M,,https://www.enit.it/
non quotata,Eur spa. (90%),Angela,Cossellu,F,,https://www.equitaliagiustizia.it/it/la-societa/
non quotata,EUtalia Studiare Sviluppo srl (100%),Alberto,Gambescia,M,,http://www.eurspa.it/it/azienda/profilo
non quotata,FiberCop S.p.A. (16%),Massimo,Sarmi,M,,https://www.studiaresviluppo.it/chi-siamo/
non quotata,Giubileo 2025 (100%),Marco,Sangiorgio,M,,https://www.fibercop.it/
non quotata,Gse - Gestore dei servizi energetici spa (100%),Vinicio Mosè,Vigilante,M,,https://www.societagiubileo2025.it/
non quotata,"ICSC S.p.A. - Istituto per il credito sportivo e culturale S.p.A. (80,44%)",Antonella,Baldino,F,,https://www.gse.it/chi-siamo/governance
non quotata,Infrastrutture Milano Cortina 2020 - 2026 spa (35%),Luigivalerio,Sant'Andrea,M,,https://www.creditosportivo.it/
non quotata,Invimit Sgr - Investimenti immobiliari italiani società di gestione del risparmio spa (100%),Marco,Reggiani,M,,https://www.simico.it/
non quotata,Ipzs - Istituto poligrafico e zecca dello Stato spa. (100%),Francesco,Soro,M,,https://www.invimit.it/
non quotata,Italia Trasporto Aereo S.p.A (59%).,Jörg,Eberhart,M,,https://www.ipzs.it/ext/index.html
non quotata,"Mefop - Società per lo sviluppo del mercato dei fondi pensione spa (57,70%)",Luigi,Ballanti,M,DG,https://www.itaspa.com/it_it/
non quotata,Pago PA S.p.A. (100%),Alessandro,Moricca,M,,https://www.mefop.it/site/chi-siamo/statuto-organi
non quotata,Ram – Rete autostrade mediterranee spa (100%),Davide,Bordoni,M,,https://www.pagopa.it/it/
non quotata,Sogei - Società generale di informatica spa (100%),Cristiano,Cannarsa,M,,http://www.ramspa.it/chi-siamo/governance
non quotata,Sogesid spa (100%),Enrico,Stravato,M,,https://www.sogei.it/it/sogei-homepage.html
non quotata,Sogin - Società gestione impianti nucleari spa (100%),Gian Luca,Artizzo,M,,https://www.sogesid.it/
non quotata,Sport e salute spa (100%),Diego,Nepi Molineris,M,,https://www.sogin.it/it/organizzazione/organizzazione.html
non quotata,STMicroelectronics holding N.V. (50%),Jean-Marc,Chery,M,,https://www.coni.it/it/sport-e-salute.html
non quotata,"Stretto di Messina (55,16 %)",Pietro,Ciucci,M,,https://www.st.com/content/st_com/en.html
non quotata,Sviluppo Lavoro Italia (100%),Paola,Nicastro,F,,https://strettodimessina.it/web/
