nome,ufficio,anno
CRISCONIO Giovanbattista,Commissariato del Governo per la Provincia di Bolzano,2013
DI GIORGIO Donatella,Commissariato del Governo per la Provincia di Trento,2013
GUARINO Antonio,Dipartimento Politiche del Personale dell'Amministrazione Civile e per le Risorse Strumentali e Finanziarie,2013
CECI Roberto,"Dipartimento dei Vigili del Fuoco, del Soccorso Pubblico e della difesa Civile",2013
SPARACINO Laura,"Dipartimento dei Vigili del Fuoco, del Soccorso Pubblico e della difesa Civile",2013
ANDREOZZI Loretana,Dipartimento della Pubblica Sicurezza,2013
MONTANARO Giuseppe,Dipartimento della Pubblica Sicurezza,2013
PELLEGRINO Anna,Dipartimento della Pubblica Sicurezza,2013
PERROTTA Marcella,Dipartimento della Pubblica Sicurezza,2013
DOLCI Giorgio,Dipartimento per gli Affari Interni e Territoriali-Direzione Centrale dei Servizi Demografici,2013
AMATO Amelia,Direzione Centrale per le Risorse Umane,2013
TURRI Roberto,Milano Direzione Interregionale P.S. Lombardia Emilia Romagna,2013
SCOGNAMIGLIO Angela,Questura Napoli,2013
SORIA Emma,Questura Napoli,2013
MARIOTTI Gavina,Questura Novara,2013
PETRELLI Vinicio,UTG Ascoli Piceno,2013
MASTROCOLA Paolo,UTG Asti,2013
GAITA Rosa Angela,UTG Barletta Adria - Trani,2013
CALENDA Antonio,UTG Catanzaro,2013
CICCHIELLO Antonio,UTG Fermo,2013
ABATE Mirella,UTG Foggia,2013
BLASI Rita,UTG Frosinone,2013
FILIPPI Loredana,UTG Frosinone,2013
MEDORO Rita Anna,UTG Isernia,2013
PANEBIANCO Aldo,UTG Lecco,2013
OGNIBENE Francesco,UTG Lodi,2013
DEL PUNTA Stefano Angelo,UTG Massa Carrara,2013
LA VECCHIA Giulia,UTG Parma,2013
CHIRULLI Ivana,UTG Pavia,2013
BONADIA Graziella,UTG Pordenone,2013
CAGNETTA Giuseppe,UTG Pordenone,2013
BUONO Angela Rita,UTG Ravenna,2013
D'AMBROSIO Giuseppe,UTG Ravenna,2013
ROSSINI Antonio,UTG Rovigo,2013
CADDEO Maria Cristina,UTG Sassari,2013
MULAS Antonello,UTG Sassari,2013
TEDDE Costantino,UTG Sassari,2013
CONFORTOLA Chiara,UTG Sondrio,2013
STALLONE Francesca,UTG Torino,2013
LA ROCCA Vito Maurizio,UTG Trapani,2013
TAVERRITI Tommaso,UTG Udine,2013
CASTELLUCCIO Lucia,UTG Vercelli,2013
MANODORO Mariarosaria,UTG Vicenza,2013
AMENDOLA Cinzia,UTG palermo,2013
PERISSINOTTO Mauro,Commissariato del Governo di Trento,2015
MASCIARELLI Luca,"Dipartimento dei Vigili del Fuoco, del Soccorso Pubblico e della Difesa Civile Area I Bilancio e Patrimonio",2015
GRANATA Carmela,"Dipartimento dei Vigili del Fuoco, del Soccorso Pubblico e della Difesa Civile Ufficio II Personale ruolo dirigenti, direttivi e ruolo ispettori antincendio",2015
FERRARI Giovanni,"Dipartimento dei Vigili del Fuoco, del Soccorso Pubblico e della Difesa Civile Ufficio III – Difesa Civile",2015
CHIARELLA Loredana,Dipartimento della Pubblica Sicurezza Direzione centrale Immigrazione e Polizia delle Frontiere,2015
LARATTA Caterina,Dipartimento della Pubblica Sicurezza Segreteria Dip. P.S.- Segreteria. Tecnica e Amministrativa Gestione Fondi Europei e P.Ο.Ν.,2015
PELLEGRINO Anna,Dipartimento della Pubblica Sicurezza Servizi Tecnici Logistici e Gestione Patrimoniale,2015
DELLE ROSE MELCHIORRE Filomena,"Dipartimento delle Libertà Civili Direzione Centrale delle Libertà Civili, per l'Immigrazione e Asilo Ufficio III, Unità' Dublino",2015
MASELLA Paola,Dipartimento delle Libertà Civili Ufficio I- Gabinetto del Capo Dipartimento,2015
BIAGIOLI Paola,Dipartimento delle Libertà Civili Ufficio VI di staff- Sistema Informatico del Dipartimento,2015
GUARINO Antonio,Dipartimento delle Politiche del Personale dell'Amministrazione Civile e per le Risorse Strumentali e Finanziarie,2015
AMATO Amelia,Dipartimento delle Politiche del Personale dell'Amministrazione Civile e per le Risorse Strumentali e Finanziarie Direzione Centrale Risorse Finanziarie e Strumentali,2015
GIMIGLIANO Gianluca,Dipartimento delle Politiche del Personale dell'Amministrazione Civile e per le Risorse Strumentali e Finanziarie Direzione Centrale Risorse Finanziarie e Strumentali,2015
PLANTEMOLI Stefano,Dipartimento delle Politiche del Personale dell'Amministrazione Civile e per le Risorse Strumentali e Finanziarie Direzione Centrale Risorse Finanziarie e Strumentali,2015
PRIMON Claudio,Dipartimento delle Politiche del Personale dell'Amministrazione Civile e per le Risorse Strumentali e Finanziarie Direzione Centrale Risorse Finanziarie e Strumentali,2015
TAVANI Paolo,Dipartimento delle Politiche del Personale dell'Amministrazione Civile e per le Risorse Strumentali e Finanziarie Direzione Centrale Risorse Finanziarie e Strumentali,2015
PRATILLO Tommaso,Questura di Caserta,2015
PUNTORIERI Patrizia Domenica,Questura di Cuneo,2015
GIUSTI Danilo,Questura di Genova,2015
DERRICO Alfonso,Questura di Grosseto,2015
MARTINO Francesca,Questura di Milano,2015
MELISSE Massimo,Questura di Roma,2015
IMBRO' Giuseppe,UTG di Agrigento,2015
PULLARA Graziella,UTG di Agrigento,2015
PICCININI Maurizio,UTG di Ascoli Piceno,2015
GAITA Rosa Angela,UTG di Barletta Adria Trani,2015
SPINA Mariacristina,UTG di Campobasso,2015
RENDA Nerina,UTG di Catanzaro,2015
FAMULARI Cinzia,UTG di Cremona,2015
CALENDA Antonio,UTG di Crotone,2015
PICARELLA Vanda Carla,UTG di Fermo,2015
FREDDUCCI Giuseppe,UTG di Firenze,2015
MAFFEI Trinio Ludovico,UTG di Foggia,2015
FILIPPI Loredana,UTG di Frosinone,2015
DALLEDONNE Maurizio,UTG di Imperia,2015
ROSSETTI Annarosa,UTG di Imperia,2015
RAPUANO Mario,UTG di Lodi,2015
LUPO Raffaella,UTG di Macerata,2015
BORSATTI Caterina,UTG di Mantova,2015
IRRERA Giancarlo,UTG di Messina,2015
CAPRIO Silvia,UTG di Milano,2015
ESCOLI Cinzia,UTG di Monza Brianza,2015
LACATENA Teresa,UTG di Napoli,2015
CHIRICO Donato,UTG di Piacenza,2015
DEL CORSO Sabina,UTG di Pisa,2015
BUONO Angela Rosa,UTG di Ravenna,2015
CHIARI Carlo,UTG di Reggio Emilia,2015
SOMASCA Elena,UTG di Roma,2015
ROSSI Alessandra,UTG di Rovigo,2015
CORTONICCHI Antonella,UTG di Siena,2015
VALERI Daniela,UTG di Teramo,2015
GIUNTI Donatella,UTG di Torino,2015
LA ROCCA Vito Maurizio,UTG di Trapani,2015
AGOSTINI Rosa,UTG di Varese,2015
FORTE Stefania,UTG di Venezia,2015
RAIMONDO Sergio,UTG di Vibo Valentia,2015
AMBROSINI Nicoletta,UTG di Viterbo,2015
BORGHESI Alessandra,UTGdi Forlì Cesena,2015
FERRARI Giovanni,"Dipartimento dei Vigili del Fuoco, del Soccorso Pubblico e della Difesa Civile Direzione Centrale per la Difesa Civile e le Politiche di Protezione Civile",2016
MASCIARELLI Luca,"Dipartimento dei Vigili del Fuoco, del Soccorso Pubblico e della Difesa Civile Direzione Centrale per le Risorse Finanziarie",2016
GORI Ruggero,"Dipartimento dei Vigili del Fuoco, del Soccorso Pubblico e della Difesa Civile Direzione Centrale per le Risorse Logistiche e Strumentali",2016
DI SALVATORE Nunzia,"Dipartimento dei Vigili del Fuoco, del Soccorso Pubblico e della Difesa Civile Direzione Centrale per le Risorse Umane",2016
IOLLO Sergio,Dipartimento della Pubblica Sicurezza Direzione Centrale dell'Immigrazione e della Polizia delle Frontiere,2016
DOMENICI Domenica,"Dipartimento della Pubblica Sicurezza Direzione Centrale per la polizia Stradale, Ferroviaria, delle Comunicazioni e per i Reparti Speciali della Polizia di Stato",2016
AGELLO Maurizio,Dipartimento della Pubblica Sicurezza Segreteria del Dipartimento della Pubblica Sicurezza,2016
SCACCIA Patrizia,Dipartimento della Pubblica Sicurezza Segreteria del Dipartimento della Pubblica Sicurezza,2016
PELLEGRINO Anna,Dipartimento della Pubblica Sicurezza Servizi Tecnici Logistici e Gestione Patrimoniale,2016
GUGLIELMINO Giorgio,"Dipartimento delle Libertà Civili Direzione Centrale delle Libertà Civili, per l'Immigrazione e l'Asilo",2016
PRESTA Laura Maria,Dipartimento delle Libertà Civili Direzione Centrale per l'Amministrazione dei Fondi Edifici di Culto,2016
MASELLA Paola,Dipartimento delle Libertà Civili Ufficio I- Gabinetto del Capo Dipartimento,2016
AMATO Amelia,Dipartimento delle Politiche del Personale dell'Amministrazione Civile e per le Risorse Strumentali e Finanziarie Direzione Centrale per le Risorse Finanziarie e Strumentali,2016
GIMIGLIANO Gianluca,Dipartimento delle Politiche del Personale dell'Amministrazione Civile e per le Risorse Strumentali e Finanziarie Direzione Centrale per le Risorse Finanziarie e Strumentali,2016
PLANTEMOLI Stefano,Dipartimento delle Politiche del Personale dell'Amministrazione Civile e per le Risorse Strumentali e Finanziarie Direzione Centrale per le Risorse Finanziarie e Strumentali,2016
PRIMON Claudio,Dipartimento delle Politiche del Personale dell'Amministrazione Civile e per le Risorse Strumentali e Finanziarie Direzione Centrale per le Risorse Finanziarie e Strumentali,2016
TAVANI Paolo,Dipartimento delle Politiche del Personale dell'Amministrazione Civile e per le Risorse Strumentali e Finanziarie Direzione Centrale per le Risorse Finanziarie e Strumentali,2016
GUARINO Antonio,Dipartimento delle Politiche del Personale dell'Amministrazione Civile e per le Risorse Strumentali e Finanziarie Direzione Centrale per le Risorse Finanziarie e strumentali,2016
LA ROSA Letterio,Questura di Bologna,2016
PRATILLO Tommaso,Questura di Caserta,2016
AMENDOLIA Cristina,Questura di Catanzaro,2016
STRANO Francesco,Questura di Firenze,2016
CAVANNA Lucia,Questura di Genova,2016
MARTINO Francesca,Questura di Milano,2016
AZZALI Viviana,Questura di Roma,2016
