nome,ufficio,anno
IMBRO' Giuseppe,UTG di Agrigento,2016
PULLARA Graziella,UTG di Agrigento,2016
TESTA Maria Grazia,UTG di Alessandria,2016
SOPRANZETTI Gabriella,UTG di Ascoli Piceno,2016
GAITA Rosa Angela,UTG di Barletta Adria Trani,2016
CONSOLE Maria Paola,UTG di Brescia,2016
CALENDA Antonio,UTG di Crotone,2016
ADINOLFI Francesco,UTG di Cuneo,2016
GIARMANA' Antonianna,UTG di Cuneo,2016
PICARELLA Vanda Carla,UTG di Fermo,2016
DUCCI Manuela,UTG di Firenze,2016
DI SALVATORE Umberto,UTG di Forlì Cesena,2016
RAPUANO Mario,UTG di Lodi,2016
FEDI Patrizia,UTG di Lucca,2016
PAPALEO Lucia,UTG di Mantova,2016
NICOSIA Silvana,UTG di Messina,2016
LOPREIATO Fortunata,UTG di Milano,2016
CRISAFULLI Maria,UTG di Modena,2016
ESCOLI Cinzia,UTG di Monza Brianza,2016
GUMBAZ Daniela,UTG di Padova,2016
ANEMONE Laura,UTG di Pavia,2016
PASQUALETTI Rossella,UTG di Pisa,2016
MANCINO Teresa,UTG di Potenza,2016
MANIOTTI Lucrezia,UTG di Prato,2016
STORACI Alessandro,UTG di Ragusa,2016
ANGELONI Angelo,UTG di Rieti,2016
VARI Silvia,UTG di Rieti,2016
GIURFO Serafina,UTG di Roma,2016
ROSSI Alessandra,UTG di Rovigo,2016
CASTIGLIA Armando,UTG di Siracusa,2016
STALLONE Francesca,UTG di Torino,2016
LA ROCCA Vito Maurizio,UTG di Trapani,2016
PRODAM Lucio,UTG di Trieste,2016
GIGLIO Luciano,UTG di Venezia,2016
FRAGOMENI Carla,UTG di Vibo Valentia,2016
MANODORO Mariarosaria,UTG di Vicenza,2016
GALLETTA Antonio,UTG di Viterbo,2016
COLLURA Maria Giuseppina,"Dipartimento dei Vigili del Fuoco, del Soccorso Pubblico e della Difesa Civile",2017
GORI Ruggero,"Dipartimento dei Vigili del Fuoco, del Soccorso Pubblico e della Difesa Civile",2017
ANDREOZZI Loretana,Dipartimento della Pubblica Sicurezza,2017
CHIAPPARELLI Mario,Dipartimento della Pubblica Sicurezza,2017
DOMENICI Domenica,Dipartimento della Pubblica Sicurezza,2017
FIORUCCI Fabrizio,Dipartimento della Pubblica Sicurezza,2017
MASCIARELLI Luca,Dipartimento della Pubblica Sicurezza,2017
SPLENDORE Pierluigi,Dipartimento della Pubblica Sicurezza,2017
TOZZI Maurizio,Dipartimento della Pubblica Sicurezza,2017
PELLEGRINO Anna,Dipartimento delle Libertà Civili Ufficio Gabinetto,2017
MANGIOLA Maria Rosaria,Dipartimento delle Libertà Civili Ufficio I- Gabinetto del Capo Dipartimento,2017
MONTANARO Giuseppe,Dipartimento delle Libertà Civili Ufficio VII – Affari Economici Finanziari,2017
DE CONCILIIS Fabio,Dipartimento delle Politiche del Personale dell'Amministrazione Civile e per le Risorse Strumentali e Finanziarie,2017
GUARINO Antonio,Dipartimento delle Politiche del Personale dell'Amministrazione Civile e per le Risorse Strumentali e Finanziarie,2017
MASELLA Paola,Dipartimento delle Politiche del Personale dell'Amministrazione Civile e per le Risorse Strumentali e Finanziarie,2017
PRIMON Claudio,Dipartimento delle Politiche del Personale dell'Amministrazione Civile e per le Risorse Strumentali e Finanziarie,2017
RASCHELLA' Vincenzo Antonio,Direzione Centrale per le Risorse Finanziarie,2017
ARATA FARRIS Franca,Direzione Centrale per le Risorse Finanziarie e Strumentali,2017
PUGLIESE Francesco,Direzione Centrale per le Risorse Finanziarie e Strumentali,2017
TAVANI Paolo Gaetano,Direzione Centrale per le Risorse Finanziarie e Strumentali,2017
AMATO Amelia,Direzione Centrale per le Risorse Finanziarie e strumentali,2017
MADEO Marco,Questura di Bologna,2017
VERRI Davide,Questura di Cosenza,2017
MARTINO Francesca,Questura di Genova,2017
SCAGLIONE Antonino,Questura di Milano,2017
ROMANO LUIGI,Questura di Palermo,2017
DI FRANCESCO Paolo,Questura di Roma,2017
SOPRANZETTI Gabriella,UTG di Agrigento,2017
DE RUBEIS Paola,UTG di Ascoli Piceno,2017
TRAMONTANO Irene,UTG di Bologna,2017
CALANDRIELLO Aldo,UTG di Caserta,2017
FALCHI Isabella,UTG di Catanzaro,2017
DOMINICI Miredo,UTG di Cremona,2017
MAFFEI Trinio Ludovico,UTG di Firenze,2017
MORETTI Ivano,UTG di Foggia,2017
TEMPORALE Maria Pia,UTG di Grosseto,2017
CIOFFI Enrico,UTG di Latina,2017
CAMPOLUNGO Cecilia,UTG di Livorno,2017
D'ALESSANDRO Anna,UTG di Macerata,2017
ALBINI Dante,UTG di Milano,2017
DE GREGORIO Emanuela,UTG di Napoli,2017
SAVARIS Paolo,UTG di Padova,2017
STORACI Alessandro,UTG di Padova,2017
VARI Silvia,UTG di Ragusa,2017
ANGELONI Angelo,UTG di Rieti,2017
SOMASCA Elena,UTG di Rieti,2017
CASTIGLIA Armando,UTG di Roma,2017
LA ROCCA Vito Maurizio,UTG di Siracusa,2017
SOLIGO Anna Rita,UTG di Trapani,2017
CONTE Rita Francesca,UTG di Treviso,2017
LA ROSA Letterio,UTG di Venezia,2017
D'ANGELO Antonio Gaetano,Dipartimento Affari Interni e Territoriali,2018
LANZERI Teresa,Dipartimento Affari Interni e Territoriali,2018
MOSCUCCI Gianfranco,Dipartimento Affari Interni e Territoriali,2018
CASTORO Rocco,"Dipartimento dei Vigili del Fuoco, del Soccorso Pubblico e della Difesa Civile",2018
FERRARI Giovanni,"Dipartimento dei Vigili del Fuoco, del Soccorso Pubblico e della Difesa Civile",2018
GORI Ruggero,"Dipartimento dei Vigili del Fuoco, del Soccorso Pubblico e della Difesa Civile",2018
MASCIARELLI Luca,"Dipartimento dei Vigili del Fuoco, del Soccorso Pubblico e della Difesa Civile",2018
BARCHIESI Maria Laura,Dipartimento della Pubblica Sicurezza,2018
BUCCHIERI Annalisa,Dipartimento della Pubblica Sicurezza,2018
CASELLA Daniela,Dipartimento della Pubblica Sicurezza,2018
CHIARELLA Loredana,Dipartimento della Pubblica Sicurezza,2018
DOMENICI Domenica,Dipartimento della Pubblica Sicurezza,2018
FORNARO Maria Pia,Dipartimento della Pubblica Sicurezza,2018
MANNUCCI Paola,Dipartimento della Pubblica Sicurezza,2018
PELLEGRINO Anna,Dipartimento della Pubblica Sicurezza,2018
PETRARCA Paolo,Dipartimento della Pubblica Sicurezza,2018
DI GIULIANO Veneranda,Dipartimento delle Libertà Civili,2018
LEONARDI Marina,Dipartimento delle Libertà Civili,2018
NASSO Stefania,Dipartimento delle Libertà Civili,2018
AMATO Amelia,Dipartimento per le Politiche del Personale dell'Amministrazione Civile e per le Risorse Strumentali e Finanziarie Direzione Centrale per le Risorse Finanziarie e Strumentali,2018
CREMONA Luana,Dipartimento per le Politiche del Personale dell'Amministrazione Civile e per le Risorse Strumentali e Finanziarie Direzione Centrale per le Risorse Finanziarie e Strumentali,2018
DE LAURENTIS Nadia,Dipartimento per le Politiche del Personale dell'Amministrazione Civile e per le Risorse Strumentali e Finanziarie Direzione Centrale per le Risorse Finanziarie e Strumentali,2018
DI SALVO Augusto,Dipartimento per le Politiche del Personale dell'Amministrazione Civile e per le Risorse Strumentali e Finanziarie Direzione Centrale per le Risorse Finanziarie e Strumentali,2018
PRIMON Claudio,Dipartimento per le Politiche del Personale dell'Amministrazione Civile e per le Risorse Strumentali e Finanziarie Direzione Centrale per le Risorse Finanziarie e Strumentali,2018
TAVANI Paolo Gaetano,Dipartimento per le Politiche del Personale dell'Amministrazione Civile e per le Risorse Strumentali e Finanziarie Direzione Centrale per le Risorse Finanziarie e Strumentali,2018
GUARINO Antonio,Dipartimento per le Politiche del Personale dell'Amministrazione Civile e per le Risorse Strumentali e Finanziarie Direzione Centrale per le Risorse Finanziarie e strumentali,2018
STRANO Francesco,Questura di Firenze,2018
DELLE FAVE Roberto,Questura di Genova,2018
SCAGLIONE Antonino,Questura di Palermo,2018
MELISSE Massimo,Questura di Roma,2018
ROMANO Luigi,Questura di Roma,2018
PERSIA Patrizia Rosalba,Questura di Venezia,2018
SCARAMOZZINO Iris,UTG di Alessandria,2018
SPALATO CERUSO Anna Maria,UTG di Avellino,2018
FORTINI Roberto,UTG di Bari,2018
BASSI Maria Chiara,UTG di Bologna,2018
PEZZELLA Carla,UTG di Brescia,2018
MARTINO Enrico,UTG di Campobasso,2018
GIANNOTTA Maria Sabrina,UTG di Firenze,2018
ALBAVERA Ilaria,UTG di Genova,2018
DI SACCO Gino,UTG di La Spezia,2018
MOSCATELLI Gianna,UTG di La Spezia,2018
TEMPORALE Maria Pia,UTG di Latina,2018
SARTIANO Iolanda Elisa,UTG di Milano,2018
AZZARELLO Antonella,UTG di Monza Brianza,2018
DE SILVA Vittorio Maria,UTG di Napoli,2018
ESCOLI Cinzia,UTG di Pavia,2018
GIANTURCO Maria Luisa,UTG di Potenza,2018
VITAGLIANO Carolina,UTG di Potenza,2018
CRUPI Pasquale,UTG di Reggio Calabria,2018
DEL GIGLIO Salvatore,UTG di Reggio Calabria,2018
SOMASCA Elena,UTG di Roma,2018
GENTILE Angela,UTG di Taranto,2018
GIUNTI Donatella,UTG di Torino,2018
GIULIO Rosanna,UTG di Trieste,2018
D'ORAZIO Laura,Dipartimento Affari Interni e Territoriali,2019
LANZERI Teresa,Dipartimento Affari Interni e Territoriali,2019
MOSCUCCI Gianfranco,Dipartimento Affari Interni e Territoriali,2019
GORI Ruggero,"Dipartimento dei Vigili del Fuoco, del Soccorso Pubblico e della Difesa Civile",2019
MASCIARELLI Luca,"Dipartimento dei Vigili del Fuoco, del Soccorso Pubblico e della Difesa Civile",2019
MAZZA Vera,"Dipartimento dei Vigili del Fuoco, del Soccorso Pubblico e della Difesa Civile",2019
SILVESTRI Marina,"Dipartimento dei Vigili del Fuoco, del Soccorso Pubblico e della Difesa Civile",2019
ANDREOZZI Loretana,Dipartimento della Pubblica Sicurezza,2019
COLACICCHI Fabio,Dipartimento della Pubblica Sicurezza,2019
CONTI Francesco,Dipartimento della Pubblica Sicurezza,2019
CRIELEISON Antonino,Dipartimento della Pubblica Sicurezza,2019
DE SIMONI Stefania,Dipartimento della Pubblica Sicurezza,2019
MONTANARO Giuseppe,Dipartimento della Pubblica Sicurezza,2019
RENZI Serena,Dipartimento della Pubblica Sicurezza,2019
RUSSO Patrizia,Dipartimento della Pubblica Sicurezza,2019
TABBI' Emanuele,Dipartimento della Pubblica Sicurezza,2019
ARATA FARRIS Franca,Dipartimento delle Libertà Civili,2019
DI GIULIANO Veneranda,Dipartimento delle Libertà Civili,2019
MAIOLINO Veronica,Dipartimento delle Libertà Civili,2019
PRESTA Laura Maria,Dipartimento delle Libertà Civili,2019
AMATO Amelia,Dipartimento per le Politiche del Personale dell'Amministrazione Civile e per le Risorse Strumentali e Finanziarie Direzione Centrale per le Risorse Finanziarie e Strumentali,2019
DE AMICIS Lucia,Dipartimento per le Politiche del Personale dell'Amministrazione Civile e per le Risorse Strumentali e Finanziarie Direzione Centrale per le Risorse Finanziarie e Strumentali,2019
MORO Annamaria,Dipartimento per le Politiche del Personale dell'Amministrazione Civile e per le Risorse Strumentali e Finanziarie Direzione Centrale per le Risorse Finanziarie e Strumentali,2019
PRIMON Claudio,Dipartimento per le Politiche del Personale dell'Amministrazione Civile e per le Risorse Strumentali e Finanziarie Direzione Centrale per le Risorse Finanziarie e Strumentali,2019
TAVANI Paolo Gaetano,Dipartimento per le Politiche del Personale dell'Amministrazione Civile e per le Risorse Strumentali e Finanziarie Direzione Centrale per le Risorse Finanziarie e Strumentali,2019
GUARINO Antonio,Dipartimento per le Politiche del Personale dell'Amministrazione Civile e per le Risorse Strumentali e Finanziarie Direzione Centrale per le Risorse Finanziarie e strumentali,2019
FISCHETTI Francesco Paolo,Dipartimento per le Politiche del Personale dell'Amministrazione Civile e per le Risorse Strumentali e Finanziarie Direzione Centrale per le Risorse Umane,2019
PETTI Giulia,Dipartimento per le Politiche del Personale dell'Amministrazione Civile e per le Risorse Strumentali e Finanziarie Direzione Centrale per le Risorse Umane,2019
LA ROSA Letterio,Questura di Bologna,2019
TORRISI Giuseppe,Questura di Catania,2019
ESPOSITO Maurizio,Questura di Milano,2019
AZZALI Viviana,Questura di Roma,2019
MELISSE Massimo,Questura di Roma,2019
MANZI Vincenza,Questura di Salerno,2019
PAPALE Antonio,UTG Caserta,2019
GIARDINI Rosa,UTG di Ascoli Piceno,2019
FILIPPO Michele,UTG di Bari,2019
MAIELLO Giulia,UTG di Brindisi,2019
NAVONI MONTIS Giuseppe,UTG di Cagliari,2019
ATTILI Gianfranco,UTG di Chieti,2019
ACCHIARDI Roberto Costanzo,UTG di Cuneo,2019
PIETRA Claudia Daniela,UTG di Cuneo,2019
MARTINI Gianluca,UTG di Fermo,2019
GIORGI Roberto,UTG di Firenze,2019
FOTI Maria Carmela,UTG di Genova,2019
NAPOLITANO Lucia,UTG di Grosseto,2019
SODANO Renato,UTG di Modena,2019
RIZZO Immacolata Antonella,UTG di Padova,2019
STORACI Alessandro,UTG di Ragusa,2019
CRUPI Pasquale,UTG di Reggio Calabria,2019
DEL GIGLIO Salvatore,UTG di Reggio Calabria,2019
BUZZI Pierluigi,UTG di Rieti,2019
PASQUINI Tiziana,UTG di Rieti,2019
CARLINO Daniela,UTG di Trapani,2019
RIBECCO Angela,UTG di Trento,2019
BOCCACCI Alessandro,UTG di Venezia,2019
BOTTI Roberto,Dipartimento Affari Interni e Territoriali,2020
MONTALI Flavia,Dipartimento Affari Interni e Territoriali,2020
MOSCUCCI Gianfranco,Dipartimento Affari Interni e Territoriali,2020
BIDOLLI Pietro,"Dipartimento dei Vigili del Fuoco, del Soccorso Pubblico e della Difesa Civile",2020
D'ANGELO Brunella,"Dipartimento dei Vigili del Fuoco, del Soccorso Pubblico e della Difesa Civile",2020
DI BERARDINO Lorenzo,"Dipartimento dei Vigili del Fuoco, del Soccorso Pubblico e della Difesa Civile",2020
DI PAOLA Tiziana,"Dipartimento dei Vigili del Fuoco, del Soccorso Pubblico e della Difesa Civile",2020
FORNACIARI Fabiana,"Dipartimento dei Vigili del Fuoco, del Soccorso Pubblico e della Difesa Civile",2020
MANCINI Giulio,"Dipartimento dei Vigili del Fuoco, del Soccorso Pubblico e della Difesa Civile",2020
MASCIARELLI Luca,"Dipartimento dei Vigili del Fuoco, del Soccorso Pubblico e della Difesa Civile",2020
MORRA Rosanna,"Dipartimento dei Vigili del Fuoco, del Soccorso Pubblico e della Difesa Civile",2020
ANDREOZZI Loretana,Dipartimento della Pubblica Sicurezza,2020
CARDUCCI Cristina,Dipartimento della Pubblica Sicurezza,2020
DI FELICE Marina,Dipartimento della Pubblica Sicurezza,2020
GUIDA Raffaele,Dipartimento della Pubblica Sicurezza,2020
LARATTA Caterina,Dipartimento della Pubblica Sicurezza,2020
MONTANARO Giuseppe,Dipartimento della Pubblica Sicurezza,2020
PICOTTI Stefania,Dipartimento della Pubblica Sicurezza,2020
RICCIARDI Francesco,Dipartimento della Pubblica Sicurezza,2020
SPIRIDIONE Antonietta Nadia,Dipartimento della Pubblica Sicurezza,2020
DELLE ROSE MELCHIORRE Filomena,Dipartimento delle Libertà Civili,2020
DI GIULIANO Veneranda,Dipartimento delle Libertà Civili,2020
PUSOLE Stefano,Dipartimento delle Libertà Civili,2020
TRAMONTOZZI Sara,Dipartimento delle Libertà Civili,2020
AMATO Amelia,Dipartimento per le Politiche del Personale dell'Amministrazione Civile e per le Risorse Strumentali e Finanziarie,2020
ESPOSITO Marina,Dipartimento per le Politiche del Personale dell'Amministrazione Civile e per le Risorse Strumentali e Finanziarie,2020
FILIPPONI Luca,Dipartimento per le Politiche del Personale dell'Amministrazione Civile e per le Risorse Strumentali e Finanziarie,2020
FORTINO Maria,Dipartimento per le Politiche del Personale dell'Amministrazione Civile e per le Risorse Strumentali e Finanziarie,2020
FRACCHIOLLA Angela,Dipartimento per le Politiche del Personale dell'Amministrazione Civile e per le Risorse Strumentali e Finanziarie,2020
GUARINO Antonio,Dipartimento per le Politiche del Personale dell'Amministrazione Civile e per le Risorse Strumentali e Finanziarie,2020
PES Massimo,Questura di Cagliari,2020
AMENDOLIA Cristina,Questura di Catanzaro,2020
SCAGLIONE Antonino,Questura di Palermo,2020
MELISSE Massimo,Questura di Roma,2020
ROMANO Luigi,Questura di Roma,2020
PERSIA Patrizia Rosalba,Questura di Venezia,2020
GUGLIELMI Giovanni,UTG di Barletta Adria Trani,2020
CIAMBRIELLO Giovanna,UTG di Benevento,2020
FABBRI Anne Marie,UTG di Forlì Cesena,2020
COCCARO Pasquale,UTG di Genova,2020
COZZANI Patrizia,UTG di La Spezia,2020
NENNA Matteo Nicola,UTG di Lecce,2020
DE LILLO Antonietta,UTG di Lodi,2020
PARATORE Giuseppa,UTG di Messina,2020
GIORDANO Vittorio,UTG di Milano,2020
DE MARTINO Raffaella,UTG di Potenza,2020
DI TONDO Elena,UTG di Ravenna,2020
CHIARI Carlo,UTG di Reggio Emilia,2020
DI LIDDO Francesca,UTG di Reggio Emilia,2020
SOMASCA Elena,UTG di Roma,2020
TURCHI Stefania,UTG di Roma,2020
COGNETTA Ornella,UTG di Siena,2020
PANSONI Serenella,UTG di Sondrio,2020
IMPORTUNO Annachiara,UTG di Taranto,2020
DI LORENZO Matteo,UTG di Teramo,2020
BELLOMO Antonio,UTG di Torino,2020
STALLONE Francesca,UTG di Torino,2020
PRIAMO Maria,UTG di Treviso,2020
CAPUTO Giovanna,UTG di Trieste,2020
CULINI Giancarlo,Dipartimento Affari Interni e Territoriali,2021
PULEIO Domenico,Dipartimento Affari Interni e Territoriali,2021
CASSESE Anna Maria,"Dipartimento dei Vigili del Fuoco, del Soccorso Pubblico e della Difesa Civile",2021
CIMINI David,"Dipartimento dei Vigili del Fuoco, del Soccorso Pubblico e della Difesa Civile",2021
