CODICE_ISTAT,comune
028001,050540010
098001,030990010
097001,030980010
052001,090750010
095001,200950010
068001,130600010
015002,030490020
047023,090630012
076001,170640010
088001,190650010
071001,160310010
004001,010270010
077001,170470010
066001,130380010
057001,120690010
076002,170640020
065001,150720010
063001,150510010
087001,190210010
087002,190210020
087003,190210030
087005,190210050
087004,190210040
060001,120330010
078001,180250010
017001,030150010
041001,110590010
019001,030260010
020001,030450010
056001,120910010
078002,180250020
102001,181030010
044001,110060010
055001,100800010
070001,140190010
094001,140940010
072001,160090010
044002,110060020
085001,190180010
083107,190480001
006001,010020010
078003,180250030
060002,120330020
072002,160090020
087006,190210060
016001,030120010
016002,030120020
029001,050710010
017002,030150020
023001,050890010
058001,120700010
063002,150510020
080001,180670010
033001,080610010
063003,150510030
090001,200730010
086001,190280010
047002,090630020
005001,010070010
001001,010810010
090062,200730011
028002,050540020
019002,030260020
080002,180670020
094002,140940020
017003,030150030
025001,050100010
058002,120700020
012001,030860010
108001,031040010
003001,010520010
084001,190010010
065002,150720020
042001,110030010
024001,050900010
108002,031040020
095002,200950020
086002,190280020
066002,130380020
078004,180250040
030001,060850010
064001,150080010
078005,180250050
061001,150200010
096001,010960010
001002,010810020
062001,150110010
008001,070370010
097002,030980020
004002,010270020
022001,040830010
001003,010810030
090002,200730020
018001,030570010
002002,010880020
068002,130600020
025002,050100020
009001,070740010
060003,120330030
004003,010270030
067001,130790001
095003,200950030
015005,030490050
065003,150720030
076003,170640030
058003,120700030
016003,030120030
002003,010880030
018002,030570020
023002,050890020
014001,030770010
034001,080560010
004004,010270040
013003,030240030
009002,070740020
006002,010020020
072003,160090030
071002,160310020
013004,030240040
024002,050900020
079002,180220020
022002,040830020
001004,010810040
108003,031040030
078006,180250060
028003,050540030
035001,080680010
016004,030120040
013005,030240050
009004,070740040
009003,070740030
012002,030860020
018003,030570030
014002,030770020
005002,010070020
018004,030570040
081001,190820010
083001,190480010
022003,040830030
021001,040140002
095004,200950040
006003,010020030
078007,180250070
084002,190010020
075002,160410020
075003,160410030
065004,150720040
066003,130380030
017004,030150040
006004,010020040
039001,080660010
090003,200730030
016248,030120041
083002,190480020
083003,190480030
082001,190550010
077002,170470020
006005,010020050
002004,010880040
061002,150200020
082002,190550020
082003,190550030
095005,200950050
025003,050100030
007001,020040010
055002,100800020
075004,160410040
058004,120700040
006192,010020062
016005,030120050
016006,030120070
016007,030120080
001006,010810060
024003,050900030
025072,050100035
001007,010810070
001008,010810080
033002,080610020
013006,030240060
033049,080610025
013253,030240065
072004,160090040
009005,070740050
022235,040830034
064002,150080020
082004,190550040
006007,010020070
065005,150720050
024004,050900040
109001,111050010
078008,180250080
069001,130230010
024005,050900050
026001,050840010
004005,010270050
037062,080130005
002170,010880045
082005,190550050
078009,180250090
046001,090430010
022236,040830037
055003,100800030
061003,150200030
060004,120330040
016008,030120090
006008,010020080
013007,030240070
065006,150720060
109002,111050020
078010,180250100
030002,060850020
079003,180220030
060005,120330050
079004,180220040
057002,120690020
016009,030120100
022237,040830042
011001,070390010
055004,100800040
078011,180250110
003002,010520020
062002,150110020
030003,060850030
063004,150510040
060006,120330060
067002,130790010
042002,110030020
079005,180220050
022005,040830050
014003,030770030
001009,010810090
009006,070740060
096002,010960020
075005,160410050
001010,010810100
093001,060930010
064003,150080030
110001,161060010
021002,040140001
090004,200730040
017005,030150050
012003,030860030
051001,090050010
023003,050890030
017006,030150060
065007,150720070
001011,010810110
058005,120700050
028004,050540040
019003,030260030
097003,030980030
027001,050870010
080003,180670030
016010,030120110
021003,040140010
007002,020040020
058006,120700060
005003,010070030
083004,190480040
080004,180670040
057003,120690030
103001,011020010
066004,130380040
013009,030240090
071003,160310030
076004,170640040
058007,120700070
103002,011020020
037001,080130010
007003,020040030
041002,110590020
062003,150110030
043002,110440020
062004,150110040
013010,030240100
021004,040140020
043003,110440030
044005,110060050
014004,030770040
008002,070370020
071004,160310040
078012,180250120
059001,120400010
065008,150720080
008003,070370030
030004,060850040
064004,150080040
060007,120330070
075006,160410060
084003,190010030
005004,010070040
093002,060930020
095006,200950060
002006,010880060
111001,201110010
026002,050840020
060008,120330080
016011,030120120
042003,110030030
069002,130230020
053001,090360010
058008,120700080
012004,030860040
022006,040830060
011002,070390020
023004,050890040
015007,030490070
108004,031040040
024006,050900060
090005,200730050
095007,200950070
058117,120700081
014005,030770050
016012,030120130
080005,180670050
102002,181030020
018005,030570050
010001,070340010
015009,030490090
051002,090050020
013011,030240110
037002,080130020
038001,080290010
004006,010270060
004007,010270070
079007,180220070
069003,130230030
064005,150080050
029002,050710020
058009,120700090
069004,130230040
061004,150200040
001012,010810120
091001,200530010
103003,011020030
056002,120910020
015010,030490100
003006,010520060
076005,170640050
008004,070370040
111002,201110020
007004,020040040
060009,120330090
009007,070740070
075007,160410070
103004,011020040
003008,010520070
013012,030240120
062005,150110050
062006,150110060
060010,120330100
028005,050540050
029003,050710030
044006,110060060
006009,010020090
028006,050540060
055005,100800050
012005,030860050
025004,050100040
024007,050900070
067003,130790020
058010,120700100
030005,060850050
030006,060850060
058011,120700110
017007,030150061
007005,020040050
090006,200730060
016013,030120140
091002,200530020
063005,150510050
028007,050540070
024008,050900080
065009,150720090
052002,090750020
044007,110060070
071005,160310050
057004,120690040
024009,050900090
024010,050900100
002007,010880070
020002,030450020
026003,050840030
015011,030490110
092003,200170030
054001,100580010
013013,030240130
095008,200950080
086003,190280030
005005,010070050
095009,200950090
066005,130380050
076006,170640060
065010,150720100
069005,130230050
060011,120330110
065011,150720110
067004,130790030
064006,150080060
055006,100800060
030007,060850070
091003,200530030
089001,190760010
065012,150720120
045001,090460010
103005,011020050
008005,070370041
025005,050100050
060012,120330120
091004,200530040
010002,070340020
021005,040140021
064007,150080070
064008,150080080
016014,030120150
061005,150200050
073001,160780010
066006,130380060
093004,060930040
016015,030120160
001013,010810130
076007,170640070
055033,100800061
