CODICE_ISTAT,comune
022007,040830070
007006,020040060
089002,190760020
006010,010020100
007007,020040070
007008,020040080
001014,010810140
019004,030260040
005006,010070060
093005,060930050
017008,030150062
016016,030120170
012006,030860060
012007,030860061
016017,030120180
103006,011020060
063006,150510060
008006,070370050
090081,200730061
023005,050890050
018006,030570060
029004,050710040
051003,090050030
021006,040140030
079008,180220080
080006,180670060
082006,190550060
039002,080660020
080007,180670070
039003,080660030
018007,030570070
030008,060850080
004008,010270080
016018,030120181
046002,090430020
048001,090300010
040001,080320010
094003,140940030
028008,050540080
064009,150080090
019005,030260050
075008,160410080
029005,050710050
035002,080680020
017009,030150070
004009,010270090
020003,030450030
045002,090460020
056003,120910030
017010,030150080
061006,150200060
064010,150080100
001015,010810150
035003,080680030
008007,070370060
001016,010810160
005007,010070070
001017,010810170
004010,010270100
001018,010810180
082007,190550070
009008,070740080
097004,030980040
111003,201110030
001019,010810190
002008,010880080
002009,010880090
066007,130380070
076008,170640080
006011,010020110
090007,200730070
001020,010810200
103007,011020070
076009,170640090
028009,050540090
095010,200950100
076010,170640100
070002,140190020
063007,150510070
015250,030490116
012008,030860062
095011,200950110
001021,010810210
042004,110030040
024124,050900112
056004,120910040
004011,010270110
017011,030150090
016019,030120190
048002,090300020
048054,090300035
018008,030570080
021007,040140040
028010,050540100
083005,190480050
093006,060930060
007009,020040090
012144,030860071
034002,080560020
009009,070740090
023006,050890060
001022,010810220
015012,030490120
003012,010520110
095012,200950120
066008,130380080
046003,090430030
010003,070340030
004012,010270120
017012,030150091
072006,160090060
091005,200530050
016020,030120200
037003,080130030
076011,170640110
066009,130380090
108005,031040050
110002,161060020
013015,030240150
004013,010270130
001023,010810230
065013,150720130
086004,190280040
111004,201110040
066010,130380100
111005,201110050
097005,030980050
016021,030120210
097006,030980060
097007,030980070
006012,010020120
018009,030570090
055007,100800070
067005,130790040
022009,040830100
062007,150110070
015014,030490140
083006,190480060
015015,030490150
030009,060850090
017013,030150100
024012,050900120
056006,120910051
056005,120910052
059002,120400020
006013,010020130
004014,010270140
054002,100580020
018011,030570110
036001,080500010
028011,050540110
004015,010270150
065014,150720140
018012,030570120
082008,190550080
095013,200950130
091006,200530060
103008,011020080
012010,030860080
017014,030150110
022011,040830110
034003,080560030
016022,030120220
103009,011020090
001024,010810240
004016,010270160
079009,180220090
023007,050890070
041005,110590050
043004,110440040
006014,010020140
018013,030570130
103010,011020100
076012,170640120
013250,030240191
097008,030980080
067006,130790050
099001,081010010
058012,120700120
004017,010270170
015016,030490160
003016,010520150
065158,150720141
061007,150200070
065015,150720150
025006,050100060
108006,031040060
078013,180250130
060013,120330130
094004,140940040
057005,120690050
082009,190550090
109003,111050030
087007,190210070
078014,180250140
101001,180970010
004018,010270180
078015,180250150
042005,110030050
005008,010070080
091007,200530070
014006,030770060
013021,030240210
004019,010270190
080008,180670080
090008,200730080
004020,010270200
062008,150110080
096003,010960030
037005,080130050
016023,030120230
014007,030770070
034004,080560040
090009,200730090
013022,030240220
018014,030570140
006015,010020150
016024,030120240
029006,050710060
009010,070740100
004021,010270210
017015,030150120
077003,170470030
108007,031040070
015019,030490190
004022,010270220
040003,080320020
030010,060850100
098002,030990020
005009,010070090
006016,010020160
017016,030150130
017017,030150140
016025,030120250
108008,031040080
012011,030860081
015022,030490220
022013,040830130
033003,080610030
012012,030860090
012013,030860100
090010,200730100
033004,080610040
054003,100580030
103011,011020110
054004,100580040
011003,070390030
023008,050890080
087008,190210080
078016,180250160
080009,180670090
003018,010520170
012014,030860110
016026,030120251
002011,010880110
014008,030770080
108009,031040090
035004,080680040
051004,090050040
049001,090420010
001025,010810250
071006,160310060
030011,060850110
095014,200950140
096004,010960040
017018,030150150
022015,040830150
050001,090620020
013023,030240230
015024,030490240
072008,160090080
096005,010960050
007010,020040100
017019,030150160
091008,200530080
064011,150080110
082010,190550100
110003,161060030
066011,130380110
067007,130790060
078017,180250170
006017,010020170
012015,030860120
072010,160090100
072011,160090110
072012,160090120
091009,200530090
084004,190010040
080010,180670100
013024,030240240
022017,040830170
016027,030120260
056007,120910060
013025,030240250
013026,030240260
082082,190550101
028012,050540120
033005,080610050
001026,010810260
003019,010520180
078018,180250180
002014,010880140
022018,040830180
012016,030860130
098003,030990030
015026,030490260
010004,070340040
103012,011020120
003021,010520200
009011,070740110
070003,140190030
011004,070390040
016028,030120270
015027,030490270
001027,010810270
037006,080130060
068003,130600030
082011,190550110
043005,110440050
091010,200530100
056008,120910070
016029,030120280
003022,010520210
024013,050900130
021008,040140050
056009,120910080
069006,130230060
085002,190180020
082012,190550120
036002,080500020
095015,200950150
011005,070390050
016030,030120290
016031,030120300
023009,050890090
038003,080290030
022021,040830201
062009,150110090
070004,140190040
019006,030260060
078019,180250190
064012,150080120
090011,200730110
090012,200730120
090013,200730130
004023,010270230
057006,120690060
025007,050100070
030012,060850120
008008,070370070
019007,030260070
034005,080560050
035005,080680050
018015,030570141
001028,010810280
082013,190550130
008009,070370080
006018,010020180
011006,070390060
098004,030990040
009012,070740120
040004,080320030
079011,180220110
001029,010810290
009013,070740130
046004,090430040
022238,040830204
002015,010880150
022252,040830205
016032,030120310
022239,040830207
020072,030450048
041006,110590060
018016,030570150
004025,010270250
017020,030150170
098005,030990050
048004,090300040
006020,010020200
018018,030570170
003025,010520240
037007,080130070
034006,080560060
025074,050100075
022022,040830210
057008,120690071
028107,050540125
002017,010880170
020071,030450065
020073,030450055
001030,010810300
003023,010520220
004024,010270240
003024,010520230
008010,070370090
001031,010810310
103078,011020125
001032,010810320
033006,080610060
006019,010020190
018017,030570160
028013,050540130
057007,120690072
017021,030150180
002016,010880160
009014,070740140
014009,030770090
018019,030570180
017022,030150190
095016,200950160
091011,200530110
069007,130230070
096006,010960060
026004,050840040
091012,200530120
090014,200730140
090015,200730150
010005,070340050
095079,200950166
029007,050710070
023010,050890100
023011,050890110
006021,010020210
001033,010810330
063008,150510080
063009,150510090
004026,010270260
006022,010020220
097009,030980090
018020,030570190
016033,030120320
004027,010270270
079012,180220111
075009,160410081
016034,030120330
017023,030150200
090016,200730160
080011,180670110
080013,180670130
080012,180670120
017024,030150210
004028,010270280
017025,030150220
060014,120330140
071007,160310070
108010,031040100
028014,050540140
023012,050890120
006023,010020230
020007,030450070
004029,010270290
016035,030120331
058013,120700130
065016,150720160
021009,040140060
018021,030570191
080014,180670140
017026,030150230
001034,010810340
016036,030120350
017027,030150240
012017,030860140
026005,050840050
024014,050900140
013028,030240280
016037,030120360
016038,030120370
098006,030990060
018022,030570200
024015,050900150
013029,030240290
021010,040140070
017028,030150250
012019,030860151
023013,050890130
022025,040830240
023014,050890140
035006,080680060
017029,030150260
022026,040830250
018023,030570210
021011,040140080
024016,050900160
015032,030490320
012020,030860152
004030,010270300
102003,181030030
001035,010810350
013030,030240300
076013,170640130
004031,010270310
003026,010520250
006024,010020240
016040,030120390
074001,160160010
076014,170640140
012021,030860160
003027,010520260
017030,030150270
108011,031040110
039004,080660040
012022,030860170
007011,020040110
068004,130600040
097010,030980100
060015,120330150
024017,050900170
102004,181030040
083007,190480070
004032,010270320
018024,030570220
087009,190210090
021012,040140090
004033,010270330
001036,010810360
103013,011020130
001037,010810370
108012,031040120
028015,050540150
011007,070390070
093007,060930070
001038,010810380
016041,030120400
013032,030240320
012023,030860171
021013,040140100
005010,010070100
016042,030120401
001039,010810390
063010,150510100
012024,030860180
096007,010960070
007012,020040120
001040,010810400
080015,180670150
015035,030490350
005011,010070110
089003,190760030
069008,130230080
062010,150110100
015036,030490360
065017,150720170
051005,090050050
090017,200730170
093008,060930080
090091,200730175
037008,080130080
111006,201110060
047003,090630030
014010,030770100
066012,130380120
012025,030860181
030013,060850130
097011,030980110
013034,030240340
090018,200730180
090019,200730190
065018,150720180
062011,150110110
052003,090750030
078020,180250200
108013,031040130
111007,201110070
084005,190010050
090020,200730200
001041,010810410
001042,010810420
002021,010880210
095017,200950170
010006,070340060
001043,010810430
004034,010270340
015038,030490380
089004,190760040
081002,190820020
108051,031040135
015040,030490400
034007,080560070
068005,130600050
070005,140190050
023015,050890150
001044,010810440
012026,030860190
015041,030490410
085003,190180030
050002,090620030
023016,050890160
001045,010810450
005012,010070120
030014,060850140
006025,010020250
013035,030240350
095018,200950180
082014,190550140
101002,180970020
012027,030860200
035008,080680080
033007,080610070
022029,040830280
028016,050540160
013036,030240360
012143,030860211
026006,050840060
001046,010810460
065019,150720190
041007,110590070
092009,200170090
013037,030240370
066013,130380130
071008,160310080
061008,150200080
061009,150200090
021014,040140110
017031,030150271
014011,030770110
064013,150080130
012029,030860220
009015,070740150
063011,150510110
064014,150080140
025008,050100080
005013,010070130
084006,190010060
090021,200730210
080016,180670160
103014,011020140
086005,190280050
066014,130380140
111008,201110080
087010,190210100
081003,190820030
056010,120910090
022032,040830300
050003,090620040
077004,170470040
050004,090620050
016043,030120410
017032,030150280
016044,030120420
097012,030980120
021015,040140120
043006,110440060
037009,080130090
022033,040830310
023017,050890170
024018,050900180
022034,040830320
033008,080610080
048005,090300050
034008,080560080
011008,070390080
009016,070740160
075010,160410090
064015,150080150
009017,070740170
096008,010960080
022035,040830330
005014,010070140
097013,030980130
078021,180250210
005015,010070150
078022,180250220
084007,190010070
087011,190210110
085004,190180040
082015,190550150
003030,010520290
029008,050710080
024019,050900190
016046,030120440
001047,010810470
017033,030150290
065020,150720200
019009,030260090
076015,170640150
024020,050900200
016047,030120450
076016,170640160
062012,150110120
055008,100800080
061010,150200100
018025,030570230
015042,030490420
017034,030150300
063012,150510120
006026,010020260
046005,090430050
096009,010960090
084008,190010080
015044,030490440
001048,010810480
103015,011020150
096010,010960100
004035,010270350
042006,110030060
005016,010070160
016048,030120460
058014,120700140
042007,110030070
003032,010520310
043007,110440070
065021,150720210
061011,150200110
080017,180670170
006027,010020270
030015,060850150
019010,030260100
024021,050900210
084009,190010090
010007,070340070
065022,150720220
027002,050870020
058015,120700150
053002,090360020
019011,030260101
035009,080680090
078023,180250230
108014,031040140
035010,080680100
054005,100580050
002025,010880250
048006,090300060
075011,160410100
096086,010960111
024022,050900220
049002,090420020
001049,010810490
013040,030240390
022036,040830331
067008,130790070
080018,180670180
066015,130380150
021016,040140130
010008,070340080
049003,090420030
028020,050540200
021017,040140140
070006,140190060
084010,190010100
081004,190820040
070007,140190070
028017,050540170
022037,040830340
059003,120400030
070008,140190080
014012,030770120
028018,050540180
082016,190550151
082017,190550160
109004,111050040
082018,190550170
030016,060850160
085005,190180050
036003,080500030
062013,150110130
060016,120330160
062014,150110140
070009,140190090
027003,050870030
030138,060850175
076017,170640170
070010,140190100
010009,070340090
027004,050870040
065023,150720230
082019,190550171
046006,090430060
008011,070370100
043008,110440080
087012,190210120
028019,050540190
063013,150510130
036004,080500040
018026,030570240
066016,130380160
037010,080130100
022038,040830350
004037,010270370
025023,050100081
058016,120700160
029009,050710090
022039,040830360
076018,170640180
061012,150200120
029010,050710100
071009,160310090
096012,010960120
001050,010810500
018027,030570250
028021,050540210
064016,150080160
080019,180670190
001051,010810510
015046,030490460
005017,010070170
056011,120910100
093009,060930090
084011,190010110
089005,190760050
056012,120910110
001052,010810520
066017,130380170
078024,180250240
065024,150720240
054006,100580060
103016,011020160
018029,030570270
020008,030450080
103017,011020170
075012,160410110
080020,180670200
016049,030120470
110004,161060040
069010,130230100
004038,010270380
035018,080680180
066018,130380180
100001,091000010
057009,120690080
001053,010810521
057010,120690090
006028,010020280
094005,140940050
005018,010070180
012030,030860230
058017,120700170
041008,110590080
001054,010810530
013041,030240400
067009,130790080
013042,030240410
027005,050870050
033010,080610100
065025,150720250
082020,190550180
053003,090360021
050005,090620060
046007,090430070
058018,120700180
019012,030260110
066019,130380190
013043,030240420
102005,181030050
066020,130380200
066021,130380210
083008,190480080
016050,030120480
083009,190480090
017035,030150310
056013,120910120
061013,150200130
049004,090420040
051006,090050060
108052,031040145
066022,130380220
064017,150080170
092011,200170110
017036,030150320
066023,130380230
019013,030260120
019014,030260130
026007,050840070
068006,130600060
094006,140940060
048008,090300080
049005,090420050
019015,030260140
056014,120910130
058019,120700190
075013,160410120
056015,120910140
004039,010270390
051007,090050070
103018,011020180
063014,150510140
083010,190480100
022040,040830370
017037,030150330
006029,010020290
016051,030120490
061014,150200140
001055,010810540
064018,150080180
005019,010070190
096013,010960130
016052,030120500
023018,050890180
017038,030150340
031001,060350010
061015,150200150
072014,160090140
080021,180670210
079017,180220160
004040,010270400
004041,010270410
068007,130600070
071010,160310091
066024,130380240
010010,070340100
044010,110060100
108015,031040150
013044,030240430
016053,030120510
012031,030860240
001056,010810550
008012,070370110
056016,120910150
018030,030570280
063015,150510150
006030,010020300
013045,030240431
076019,170640190
026008,050840080
111009,201110090
009018,070740180
028022,050540220
002029,010880290
012032,030860250
004042,010270420
091103,200530132
080022,180670220
079018,180220170
063016,150510160
046008,090430080
001057,010810560
097014,030980140
006031,010020301
080023,180670230
002030,010880300
002031,010880310
006032,010020310
101003,180970030
090022,200730220
078025,180250250
064019,150080190
001058,010810570
013046,030240440
061016,150200160
082021,190550190
061017,150200170
002032,010880320
022042,040830390
071011,160310100
013047,030240450
089006,190760060
030018,060850180
111010,201110100
079020,180220190
001059,010810580
075014,160410130
100002,091000020
028023,050540230
012033,030860260
108016,031040160
016055,030120530
078026,180250260
016056,030120540
083011,190480110
012034,030860270
012035,030860280
073002,160780020
074002,160160020
094007,140940070
033011,080610110
078027,180250270
041009,110590090
017039,030150350
006033,010020320
036005,080500050
015050,030490500
075015,160410140
003036,010520350
035011,080680110
068008,130600080
058020,120700200
069011,130230110
071012,160310110
094008,140940080
045003,090460030
024024,050900240
006034,010020330
011009,070390090
011010,070390100
006035,010020340
004043,010270430
066025,130380250
024025,050900250
004044,010270440
041010,110590100
006036,010020350
028026,050540260
015051,030490510
013048,030240460
069012,130230120
016057,030120550
022043,040830400
101004,180970040
070011,140190110
069013,130230130
061018,150200180
006037,010020360
061019,150200190
065028,150720280
069014,130230140
060017,120330170
003037,010520360
069015,130230150
064020,150080200
001060,010810590
065026,150720260
019016,030260150
070012,140190120
062015,150110150
103019,011020190
019017,030260160
028027,050540270
012036,030860290
050006,090620070
006039,010020380
026009,050840090
037011,080130110
006038,010020370
003039,010520380
023019,050890190
019018,030260170
019019,030260180
098008,030990080
065027,150720270
019020,030260190
037012,080130120
035012,080680120
004045,010270450
078156,180250275
069016,130230160
003040,010520390
019021,030260200
098009,030990090
019022,030260210
020010,030450100
006040,010020390
063017,150510170
071013,160310120
020011,030450110
098010,030990100
020012,030450120
028028,050540280
061020,150200200
071014,160310130
083012,190480120
060018,120330180
003041,010520400
012037,030860300
063018,150510180
072015,160090150
063019,150510190
063020,150510200
002033,010880330
009019,070740190
018031,030570290
058021,120700210
061103,150200201
096014,010960140
057011,120690100
061021,150200210
075016,160410150
097015,030980150
015055,030490550
093010,060930100
010011,070340110
006041,010020400
097016,030980160
018032,030570300
063021,150510210
016058,030120560
054007,100580070
012038,030860310
050040,090620075
050008,090620080
001061,010810600
018033,030570310
001062,010810610
010012,070340120
065029,150720290
098011,030990110
098012,030990120
001063,010810620
061022,150200220
026010,050840100
080024,180670240
035013,080680130
016059,030120570
013052,030240500
013053,030240510
016060,030120580
063022,150510220
045004,090460040
039005,080660050
052004,090750040
069017,130230170
018034,030570320
012039,030860320
015058,030490580
063023,150510230
005020,010070200
057012,120690110
014013,030770130
030019,060850190
097017,030980170
078029,180250290
015059,030490590
072016,160090160
064021,150080210
012040,030860330
006191,010020411
012041,030860340
089007,190760070
016061,030120590
015060,030490600
013055,030240530
097018,030980180
005021,010070210
006043,010020420
006044,010020430
015061,030490610
060019,120330190
024026,050900260
018035,030570330
023020,050890200
049006,090420060
001064,010810630
004046,010270460
005022,010070220
005023,010070230
001065,010810640
018036,030570340
015062,030490620
018037,030570350
017040,030150360
024027,050900270
064022,150080220
005024,010070240
039006,080660060
061023,150200230
067010,130790090
022045,040830430
037013,080130130
020014,030450140
023021,050890210
094009,140940090
066026,130380260
053004,090360030
037014,080130140
037015,080130150
066027,130380270
087013,190210130
044011,110060110
083013,190480130
066028,130380280
061024,150200240
057013,120690120
051008,090050080
069018,130230180
019024,030260230
058022,120700220
055009,100800090
020015,030450150
037016,080130160
022240,040830435
058023,120700230
037019,080130190
017042,030150380
061026,150200260
054008,100580080
005032,010070320
016063,030120610
065034,150720340
033013,080610130
065035,150720350
051010,090050100
058025,120700250
037020,080130200
094012,140940120
057015,120690140
056017,120910160
055010,100800100
008015,070370140
061027,150200270
028029,050540290
020013,030450130
042008,110030080
021018,040140150
009020,070740200
070013,140190130
082022,190550200
065030,150720300
017041,030150370
026011,050840110
082023,190550210
099021,081010015
004047,010270470
019023,030260220
042010,110030100
048010,090300100
059004,120400040
064023,150080230
050009,090620090
036006,080500060
062016,150110160
051040,090050095
026012,050840120
098062,030990125
024028,050900280
076021,170640210
029011,050710110
069019,130230190
005025,010070250
033012,080610120
053005,090360040
083014,190480140
065031,150720310
066029,130380290
067011,130790100
081005,190820060
063024,150510240
001066,010810650
072017,160090170
082024,190550220
073003,160780030
006045,010020440
012042,030860350
006046,010020450
035014,080680140
008014,070370130
006047,010020460
003042,010520410
019025,030260240
042011,110030110
005026,010070260
096015,010960150
006048,010020470
006049,010020480
018038,030570360
006050,010020490
005027,010070270
006051,010020500
003043,010520420
004049,010270490
004050,010270500
067012,130790110
016062,030120600
052005,090750050
050010,090620100
004051,010270510
070014,140190140
004052,010270520
060020,120330200
012043,030860360
018039,030570370
037017,080130170
061025,150200250
014014,030770140
005028,010070280
097019,030980190
063025,150510250
026013,050840130
022048,040830450
022047,040830440
020016,030450160
071015,160310140
076022,170640220
076023,170640230
071016,160310150
004053,010270530
013058,030240560
029012,050710120
070015,140190150
076024,170640240
083015,190480150
018040,030570380
029013,050710130
093011,060930110
035015,080680150
035016,080680160
022049,040830460
005029,010070290
052006,090750060
098013,030990130
006052,010020510
013059,030240570
005030,010070300
065032,150720320
023022,050890220
071017,160310160
004054,010270540
065033,150720330
057014,120690130
046009,090430090
058024,120700240
050011,090620110
005031,010070310
011011,070390110
001067,010810660
060021,120330210
036007,080500070
006053,010020520
062017,150110170
094010,140940100
094011,140940110
042012,110030120
062018,150110180
043009,110440090
021019,040140160
043010,110440100
076025,170640250
090023,200730230
012044,030860370
101005,180970050
006054,010020521
084012,190010120
012045,030860380
066030,130380300
009021,070740210
066031,130380310
062019,150110190
019026,030260250
094013,140940130
062020,150110200
064024,150080240
081006,190820070
036008,080500080
033014,080610140
019027,030260260
037021,080130210
017043,030150390
111011,201110110
051011,090050110
051012,090050120
068009,130600090
010013,070340130
078030,180250300
098014,030990140
052007,090750070
037022,080130220
065036,150720360
054009,100580090
053006,090360050
020017,030450170
046010,090430100
087014,190210140
004055,010270550
056018,120910170
069020,130230200
067013,130790120
012046,030860390
004056,010270560
001068,010810670
044012,110060120
067014,130790130
004057,010270570
014015,030770150
016064,030120620
030020,060850200
098015,030990150
017044,030150400
044013,110060130
017045,030150410
075017,160410160
075018,160410170
075019,160410180
016065,030120630
075096,160410181
060023,120330230
040005,080320040
060022,120330220
084013,190010130
078031,180250310
012047,030860400
082025,190550230
076026,170640260
070016,140190160
083016,190480160
078032,180250320
078033,180250330
087015,190210150
079023,180220220
086006,190280060
068010,130600100
099002,081010020
084014,190010140
080025,180670250
062021,150110210
065037,150720370
018041,030570390
096016,010960160
003044,010520430
003045,010520440
001069,010810671
023023,050890230
022050,040830470
004058,010270580
004059,010270590
075020,160410190
027044,050870054
003047,010520460
022051,040830480
013062,030240590
012048,030860410
027006,050870060
026014,050840140
093012,060930120
006055,010020530
030021,060850210
058026,120700260
022052,040830490
022053,040830500
098017,030990170
108017,031040170
016066,030120640
036009,080500090
022054,040830501
001070,010810680
035017,080680170
020018,030450180
051013,090050130
012049,030860420
017046,030150420
023024,050890240
016067,030120641
060024,120330240
018042,030570391
049007,090420070
017047,030150430
014016,030770160
082026,190550240
082027,190550250
027007,050870070
074003,160160030
066032,130380320
069021,130230210
071018,160310170
078034,180250340
019028,030260270
006056,010020540
072018,160090180
078035,180250350
005033,010070330
017048,030150440
065038,150720380
004060,010270600
071019,160310180
005034,010070340
009022,070740220
056019,120910180
056020,120910190
067015,130790140
074004,160160040
002171,010880385
061102,150200271
022241,040830515
079024,180220230
016068,030120650
016069,030120660
025010,050100100
016070,030120670
029014,050710140
009023,070740230
004061,010270610
038004,080290040
065039,150720390
079025,180220240
013254,030240595
086007,190280070
068011,130600110
062022,150110220
103021,011020210
060025,120330250
086008,190280080
010014,070340140
003049,010520480
013063,030240600
018043,030570400
065040,150720400
070017,140190170
001071,010810690
070018,140190180
078036,180250360
066033,130380330
014017,030770170
030022,060850220
063026,150510260
082028,190550260
023025,050890250
029015,050710150
101006,180970060
001072,010810700
020019,030450190
006057,010020550
004062,010270620
001073,010810710
016071,030120680
018044,030570401
018045,030570410
009024,070740240
008016,070370150
108018,031040180
033015,080610150
071020,160310190
078037,180250370
013064,030240610
021020,040140170
067016,130790150
013065,030240620
097020,030980200
015070,030490700
005035,010070350
042013,110030130
054010,100580100
006058,010020560
048011,090300110
058027,120700270
062023,150110230
004063,010270630
006059,010020570
096018,010960180
015071,030490710
094014,140940140
015072,030490720
005036,010070360
023026,050890260
076027,170640270
048012,090300120
018046,030570430
079027,180220260
058028,120700280
028030,050540300
060026,120330260
004064,010270640
002041,010880410
017049,030150450
004065,010270650
018047,030570440
058029,120700290
039007,080660070
078038,180250380
098018,030990180
030023,060850230
064025,150080250
061028,150200280
008017,070370160
078039,180250390
061029,150200290
097021,030980210
001074,010810720
015074,030490740
108019,031040190
103022,011020220
083017,190480170
015076,030490760
040007,080320060
040008,080320070
064026,150080260
008018,070370170
025011,050100110
026015,050840150
102006,181030060
043011,110440110
005037,010070370
065041,150720410
017050,030150460
052008,090750080
078040,180250400
004066,010270660
