"Organi straordinari di governo - elenco completo Italia"
"Aggiornato al 17/01/2025"
"codice_regione";"codice_provincia";"codice_comune";"denominazione_comune";"sigla_provincia";"popolazione_censita_alla_data_elezione";"cognome";"nome";"descrizione_carica";"data_elezione";"data_entrata_in_carica"
"18";"025";"1030";"RENDE";"CS";"33555";"CORREALE";"ROSA";"Commissione Straordinaria";"26/05/2019";"28/06/2023"
"18";"025";"1030";"RENDE";"CS";"33555";"GIUFFRE'";"SANTI";"Commissione Straordinaria";"26/05/2019";"28/06/2023"
"18";"067";"0500";"MELITO DI PORTO SALVO";"RC";"11115";"FERRI";"SARA";"Commissario Straordinario";"03/10/2021";"13/09/2024"
"18";"067";"0730";"SAN LORENZO";"RC";"2685";"PICONE";"FRANCESCO";"Commissario Prefettizio";"12/06/2022";"11/06/2024"
"18";"067";"0740";"SAN LUCA";"RC";"4044";"FUSARO";"ROSARIO";"Commissario Prefettizio";"26/05/2019";"10/06/2024"
"18";"067";"0850";"SCILLA";"RC";"5115";"FRAGOMENI";"CARLA";"Commissione Straordinaria";"20/09/2020";"11/04/2023"
"18";"067";"0850";"SCILLA";"RC";"5115";"REGIO";"ANTONELLA";"Commissione Straordinaria";"20/09/2020";"11/04/2023"
"18";"067";"0850";"SCILLA";"RC";"5115";"SURACE";"ANTONIA MARIA GRAZIA";"Commissione Straordinaria";"20/09/2020";"11/04/2023"
"18";"097";"0040";"CASABONA";"KR";"2856";"CURRA'";"MANUELA";"Commissario Straordinario";"03/10/2021";"09/01/2025"
"18";"103";"0010";"ACQUARO";"VV";"2448";"CAMPINI ";"UMBERTO PIO ANTONIO ";"Commissione Straordinaria";"20/09/2020";"18/09/2023"
"18";"103";"0010";"ACQUARO";"VV";"2448";"FRATTO ";"LUCIA";"Commissione Straordinaria";"20/09/2020";"18/09/2023"
"18";"103";"0010";"ACQUARO";"VV";"2448";"IANNO’";"FRANCESCA ";"Commissione Straordinaria";"20/09/2020";"18/09/2023"
"18";"103";"0050";"CAPISTRANO";"VV";"1097";"CAPRINO";"EMMA";"Commissione Straordinaria";"12/06/2022";"17/10/2023"
"18";"103";"0050";"CAPISTRANO";"VV";"1097";"FRAGOMENI";"CARLA";"Commissione Straordinaria";"12/06/2022";"17/10/2023"
"18";"103";"0050";"CAPISTRANO";"VV";"1097";"LUZZA";"MARIA";"Commissione Straordinaria";"12/06/2022";"17/10/2023"
"18";"103";"0410";"SPADOLA";"VV";"858";"ROMANO'";"MANUELA";"Commissario Straordinario";"12/06/2022";"30/12/2024"
"18";"103";"0430";"STEFANACONI";"VV";"2526";"LAINO";"VITO";"Commissione Straordinaria";"12/06/2022";"29/07/2024"
"18";"103";"0430";"STEFANACONI";"VV";"2526";"RAIO";"ERNESTO";"Commissione Straordinaria";"12/06/2022";"29/07/2024"
"18";"103";"0430";"STEFANACONI";"VV";"2526";"TODINI";"GIOVANNI";"Commissione Straordinaria";"12/06/2022";"29/07/2024"
"18";"103";"0440";"TROPEA";"VV";"6555";"CALENDA";"ANTONIO";"Commissione Straordinaria";"21/10/2018";"24/04/2024"
"18";"103";"0440";"TROPEA";"VV";"6555";"MICUCCI";"ROBERTO";"Commissione Straordinaria";"21/10/2018";"24/04/2024"
"18";"103";"0440";"TROPEA";"VV";"6555";"TURCO";"VITO";"Commissione Straordinaria";"21/10/2018";"24/04/2024"
"19";"001";"0080";"CAMASTRA";"AG";"2163";"GIGLIA";"CONCETTA";"Commissario Straordinario";"04/10/2020";"22/06/2023"
"19";"021";"0140";"CASTIGLIONE DI SICILIA";"CT";"3298";"MARANO";"SARA";"Commissione Straordinaria";"12/06/2022";"30/09/2024"
"19";"021";"0140";"CASTIGLIONE DI SICILIA";"CT";"3298";"PORTARO";"MIRELLA";"Commissione Straordinaria";"12/06/2022";"25/05/2023"
"19";"021";"0140";"CASTIGLIONE DI SICILIA";"CT";"3298";"SALERNO";"MARIA";"Commissione Straordinaria";"12/06/2022";"25/05/2023"
"19";"021";"0230";"MASCALI";"CT";"13792";"CIMINO";"MAURIZIO";"Commissario Straordinario";"04/10/2020";"25/10/2024"
"19";"021";"0310";"PALAGONIA";"CT";"16540";"IACOLARE";"MARINELLA";"Commissione Straordinaria";"12/06/2022";"09/08/2023"
"19";"021";"0310";"PALAGONIA";"CT";"16540";"LO FERMO";"VINCENZO";"Commissione Straordinaria";"12/06/2022";"09/08/2023"
"19";"021";"0310";"PALAGONIA";"CT";"16540";"NICOLOSI";"FEDERICA";"Commissione Straordinaria";"12/06/2022";"30/09/2024"
"19";"021";"0350";"RADDUSA";"CT";"3280";"PUGLISI";"SALVATORE MARCO";"Commissario Straordinario";"12/06/2022";"27/09/2024"
"19";"021";"0370";"RANDAZZO";"CT";"11108";"CALIO'";"ALFONSA";"Commissione Straordinaria";"12/06/2022";"26/01/2024"
"19";"021";"0370";"RANDAZZO";"CT";"11108";"GAMBADAURO";"COSIMO";"Commissione Straordinaria";"12/06/2022";"26/01/2024"
"19";"021";"0370";"RANDAZZO";"CT";"11108";"GIUSTO";"ISABELLA";"Commissione Straordinaria";"12/06/2022";"26/01/2024"
"19";"021";"0500";"TREMESTIERI ETNEO";"CT";"21032";"TORELLA";"LOREDANA";"Commissario Straordinario";"14/03/2021";"29/05/2024"
"19";"028";"0070";"CENTURIPE";"EN";"5599";"SUTERA";"GIOVANNI";"Commissario Straordinario";"04/10/2020";"01/03/2024"
"19";"048";"0110";"CARONIA";"ME";"3463";"PIRAINO";"CHIARA";"Commissario Straordinario";"10/10/2021";"30/07/2024"
"19";"048";"0310";"GIARDINI NAXOS";"ME";"9268";"CHIRIELEISON";"CINZIA";"Commissario Straordinario";"04/10/2020";"22/01/2024"
"19";"076";"0180";"SOLARINO";"SR";"7853";"GUIDA";"PIO";"Commissario Straordinario";"12/06/2022";"02/01/2024"
"20";"053";"0132";"CARDEDU";"NU";"1809";"PILI";"ADAMO";"Commissario Straordinario";"10/10/2021";"09/10/2024"
"20";"053";"0490";"NUORO";"NU";"36674";"PIRISI";"GIOVANNI CARMELO";"Commissario Straordinario";"25/10/2020";"13/06/2024"
"20";"111";"0290";"GONI";"SU";"504";"ORTU";"REMO";"Commissario Straordinario";"25/10/2020";"10/05/2024"
"20";"111";"0870";"SOLEMINIS";"SU";"1858";"PODDA";"SIRO";"Commissario Straordinario";"10/10/2021";"20/11/2024"
