"Organi straordinari di governo - elenco completo Italia"
"Aggiornato al 17/01/2025"
"codice_regione";"codice_provincia";"codice_comune";"denominazione_comune";"sigla_provincia";"popolazione_censita_alla_data_elezione";"cognome";"nome";"descrizione_carica";"data_elezione";"data_entrata_in_carica"
"01";"027";"2010";"SALICETO";"CN";"1382";"ZARCONE";"GIUSEPPE";"Commissario Prefettizio";"26/05/2019";"10/06/2024"
"01";"027";"2090";"SANFRONT";"CN";"2289";"RANCURELLO";"MARINELLA";"Commissario Prefettizio";"09/06/2024";"11/06/2024"
"01";"052";"1060";"ORTA SAN GIULIO";"NO";"1131";"DALLA VERDE";"DIEGO";"Commissario Prefettizio";"09/06/2024";"23/12/2024"
"01";"081";"0460";"CAFASSE";"TO";"3511";"ATTIANESE";"RAFFAELLA";"Commissario Prefettizio";"26/05/2019";"10/06/2024"
"01";"081";"0460";"CAFASSE";"TO";"3511";"MELE";"MASSIMILIANO";"Sub commissario Prefettizio";"26/05/2019";"20/06/2024"
"01";"081";"0600";"CASCINETTE D'IVREA";"TO";"1491";"CORTESE";"ANTONELLA";"Commissario Prefettizio";"20/09/2020";"18/11/2024"
"01";"081";"0600";"CASCINETTE D'IVREA";"TO";"1491";"MARTUCCI";"FRANCA";"Sub commissario Prefettizio";"20/09/2020";"03/12/2024"
"03";"012";"0470";"CANONICA D'ADDA";"BG";"4235";"AMABILE";"MARISA";"Commissario Straordinario";"09/06/2024";"30/12/2024"
"03";"012";"0620";"CASTIONE DELLA PRESOLANA";"BG";"3455";"GALASSO";"IOLE";"Commissario Straordinario";"03/10/2021";"04/09/2024"
"03";"015";"1620";"SAN FELICE DEL BENACO";"BS";"3465";"FRIZZANTE";"ANNA";"Commissario Straordinario";"09/06/2024";"09/08/2024"
"03";"024";"0230";"BINAGO";"CO";"4824";"ZANZI";"GIORGIO";"Commissario Prefettizio";"09/06/2024";"11/06/2024"
"03";"026";"0860";"SAN DANIELE PO";"CR";"1419";"MUSARRA";"ANTONIO";"Commissario Prefettizio";"26/05/2019";"14/11/2024"
"03";"049";"1580";"OPERA";"MI";"13226";"IACONTINI";"FRANCESCA";"Commissario Straordinario";"03/10/2021";"13/11/2024"
"03";"049";"1820";"ROBECCHETTO CON INDUNO";"MI";"4869";"PANE";"SABRINA";"Commissario Straordinario";"03/10/2021";"18/04/2024"
"03";"086";"0040";"ARCISATE";"VA";"9915";"CIARCIA'";"SALVATORE GIUSEPPE";"Commissario Prefettizio";"09/06/2024";"15/01/2025"
"04";"083";"1020";"LUSERNA";"TN";"279";"GIOVANAZZI";"NERIO";"Commissario Straordinario";"20/09/2020";"28/03/2024"
"05";"054";"0590";"OSPEDALETTO EUGANEO";"PD";"5876";"DE LUCIA";"SAMUELE";"Commissario Straordinario";"03/10/2021";"03/06/2024"
"05";"084";"0040";"BORSO DEL GRAPPA";"TV";"5913";"SALLUSTO";"ALESSANDRO";"Commissario Prefettizio";"12/06/2022";"29/11/2024"
"05";"087";"0130";"ERACLEA";"VE";"12689";"SCIPIONI";"LUIGI";"Commissario Prefettizio";"20/09/2020";"20/12/2024"
"05";"087";"0350";"SANTA MARIA DI SALA";"VE";"17295";"DE PALMA";"PAOLA";"Commissario Prefettizio";"12/06/2022";"19/12/2024"
"05";"089";"0200";"CASTAGNARO";"VR";"3930";"STABILE ";"RICCARDO";"Commissario Prefettizio";"03/10/2021";"10/12/2024"
"06";"085";"0650";"NIMIS";"UD";"2778";"MARESCHI";"GIUSEPPE";"Commissario Straordinario";"12/06/2022";"08/05/2024"
"07";"074";"0550";"SASSELLO";"SV";"1747";"MORANZONI";"GIORGIO ARIBERTO";"Commissario Straordinario";"14/05/2023";"25/10/2024"
"08";"050";"0380";"SAN PROSPERO";"MO";"5841";"DI FIORE";"GIULIA";"Sub commissario Prefettizio";"26/05/2019";"08/06/2024"
"08";"050";"0380";"SAN PROSPERO";"MO";"5841";"INGLESE";"TERESA";"Commissario Prefettizio";"26/05/2019";"08/06/2024"
"08";"056";"0450";"VARANO DE' MELEGARI";"PR";"2689";"CORETTI";"ADRIANO EUSTACHIO";"Commissario Prefettizio";"20/09/2020";"25/11/2024"
"11";"003";"0340";"OSIMO";"AN";"34792";"BRANCA";"GRAZIA";"Commissario Straordinario";"09/06/2024";"30/12/2024"
"11";"105";"0370";"SANT'ELPIDIO A MARE";"FM";"16968";"DE NOTARISTEFANI DI VASTOGIRARDI";"ALESSANDRA";"Commissario Straordinario";"12/06/2022";"22/07/2024"
"12";"033";"0240";"CECCANO";"FR";"23098";"GIOMBINI";"FABIO";"Commissario Straordinario";"20/09/2020";"18/11/2024"
"12";"040";"0010";"APRILIA";"LT";"74119";"D'ATTILIO";"PAOLO";"Commissario Straordinario";"14/05/2023";"31/07/2024"
"12";"040";"0100";"ITRI";"LT";"10460";"LONIGRO";"ANTONIETTA";"Commissario Straordinario";"03/10/2021";"15/05/2024"
"12";"069";"0470";"PESCOROCCHIANO";"RI";"2211";"CENTOFANTI";"MARIANNA";"Commissario Straordinario";"12/06/2022";"24/09/2024"
"12";"070";"0375";"FONTE NUOVA";"RM";"30572";"SANTARELLI";"FILIPPO";"Commissario Straordinario";"12/06/2022";"04/09/2024"
"13";"023";"0580";"ORTONA";"CH";"23425";"BRAGA";"GIANLUCA";"Commissario Straordinario";"12/06/2022";"09/05/2024"
"13";"038";"0110";"BISEGNA";"AQ";"261";"IZZI";"FEDERICO";"Commissario Prefettizio";"03/10/2021";"12/12/2024"
"13";"038";"0250";"CARSOLI";"AQ";"5419";"DI STEFANO";"MARIA CRISTINA";"Commissario Prefettizio";"20/09/2020";"13/11/2024"
"13";"038";"0970";"SULMONA";"AQ";"24275";"D'ALESSIO";"ERNESTA";"Commissario Prefettizio";"03/10/2021";"30/12/2024"
"14";"019";"0290";"GUGLIONESI";"CB";"4926";"PERRINO";"PATRIZIA";"Commissario Prefettizio";"14/05/2023";"21/03/2024"
"15";"008";"0280";"CHIUSANO DI SAN DOMENICO";"AV";"2110";"GAMERRA";"ROSANNA";"Commissario Straordinario";"09/06/2024";"04/09/2024"
"15";"008";"0540";"MONTEFORTE IRPINO";"AV";"10878";"BARBATO";"RAFFAELE";"Commissione Straordinaria";"03/10/2021";"27/03/2024"
"15";"008";"0540";"MONTEFORTE IRPINO";"AV";"10878";"GUERRA";"SALVATORE";"Commissione Straordinaria";"03/10/2021";"27/03/2024"
"15";"008";"0540";"MONTEFORTE IRPINO";"AV";"10878";"SCIALLA";"ROSALBA";"Commissione Straordinaria";"03/10/2021";"27/03/2024"
"15";"008";"0760";"QUINDICI";"AV";"1785";"D'ANGELI";"SABRINA";"Commissione Straordinaria";"20/09/2020";"27/03/2024"
"15";"008";"0760";"QUINDICI";"AV";"1785";"LUBRANO";"VINCENZO";"Commissione Straordinaria";"20/09/2020";"27/03/2024"
"15";"008";"0760";"QUINDICI";"AV";"1785";"PASCARELLA";"ALESSANDRA";"Commissione Straordinaria";"20/09/2020";"27/03/2024"
"15";"008";"0790";"ROTONDI";"AV";"3580";"DE FELICE";"ELISABETTA";"Commissario Straordinario";"03/10/2021";"03/07/2024"
"15";"008";"0970";"SENERCHIA";"AV";"1014";"BUCCINO";"FRANCESCA GIOVANNA";"Commissario Straordinario";"03/10/2021";"03/07/2024"
"15";"011";"0690";"SANT'ANGELO A CUPOLO";"BN";"4264";"LA MONTAGNA";"MARIO";"Commissario Prefettizio";"03/10/2021";"04/09/2024"
"15";"020";"0100";"CALVI RISORTA";"CE";"5785";"FERRI";"GIUSEPPINA";"Commissione Straordinaria";"12/06/2022";"29/07/2024"
"15";"020";"0100";"CALVI RISORTA";"CE";"5785";"GIANGRANDE";"SEBASTIANO";"Commissione Straordinaria";"12/06/2022";"29/07/2024"
"15";"020";"0100";"CALVI RISORTA";"CE";"5785";"MASSIDDA";"FRANCESCO";"Commissione Straordinaria";"12/06/2022";"29/07/2024"
"15";"020";"0600";"PIGNATARO MAGGIORE";"CE";"6230";"MACCHIARELLA";"SAVINA";"Commissario Straordinario";"03/10/2021";"20/12/2024"
"15";"051";"0110";"CAIVANO";"NA";"37654";"ALICANDRO";"MAURIZIO";"Commissione Straordinaria";"20/09/2020";"17/10/2023"
"15";"051";"0110";"CAIVANO";"NA";"37654";"CALCATERRA";"SIMONETTA";"Commissione Straordinaria";"20/09/2020";"17/10/2023"
"15";"051";"0110";"CAIVANO";"NA";"37654";"DISPENZA";"FILIPPO";"Commissione Straordinaria";"20/09/2020";"17/10/2023"
"15";"051";"0210";"CASAVATORE";"NA";"18663";"LUCCHESE";"GIOVANNI";"Commissario Prefettizio";"20/09/2020";"06/12/2024"
"15";"051";"0450";"MELITO DI NAPOLI";"NA";"36933";"BONIELLO";"FIORENTINO";"Commissione Straordinaria";"03/10/2021";"12/03/2024"
"15";"051";"0450";"MELITO DI NAPOLI";"NA";"36933";"CAPPETTA";"FRANCESCO ANTONIO";"Commissione Straordinaria";"03/10/2021";"12/03/2024"
"15";"051";"0450";"MELITO DI NAPOLI";"NA";"36933";"ROSSI";"DANIELA";"Commissione Straordinaria";"03/10/2021";"12/03/2024"
"15";"051";"0500";"NOLA";"NA";"33979";"TREZZA";"MARIA LUCIA";"Commissario Straordinario";"12/06/2022";"10/12/2024"
"15";"051";"0550";"POGGIOMARINO";"NA";"21206";"D'ORSO";"GABRIELLA";"Commissario Straordinario";"20/09/2020";"30/12/2024"
"15";"051";"0890";"VOLLA";"NA";"22989";"DI MARTINO";"SERGIO";"Commissario Straordinario";"03/10/2021";"25/11/2024"
"15";"072";"0590";"ISPANI";"SA";"1020";"DE LUNA";"ANNA";"Commissario Prefettizio";"20/09/2020";"10/12/2024"
"15";"072";"1280";"SANT'ANGELO A FASANELLA";"SA";"718";"PRENCIPE";"FRANCESCO";"Commissario Prefettizio";"20/09/2020";"22/07/2024"
"16";"009";"0450";"TRIGGIANO";"BA";"27007";"FERRI";"GIUSEPPINA";"Commissario Straordinario";"03/10/2021";"15/05/2024"
"16";"031";"0091";"CARAPELLE";"FG";"6782";"MISCIA";"NICOLINA";"Commissario Straordinario";"14/05/2023";"09/05/2024"
"16";"031";"0140";"CASTELLUCCIO DEI SAURI";"FG";"2119";"BARBATO";"ANGELA";"Commissario Straordinario";"12/06/2022";"18/12/2024"
"16";"031";"0260";"LESINA";"FG";"6319";"GRANDOLFO";"RACHELE";"Commissario Straordinario";"03/10/2021";"20/12/2024"
"16";"031";"0340";"ORTA NOVA";"FG";"16999";"CACCAVONE";"ANGELO";"Commissione Straordinaria";"26/05/2019";"18/07/2023"
"16";"031";"0340";"ORTA NOVA";"FG";"16999";"FASANO";"FRANCESCO ";"Commissione Straordinaria";"26/05/2019";"18/07/2023"
"16";"031";"0340";"ORTA NOVA";"FG";"16999";"IACULLI";"MARIA RITA";"Commissione Straordinaria";"26/05/2019";"18/07/2023"
"16";"041";"0840";"TAVIANO";"LE";"12492";"SERGI";"MARILENA";"Commissario Prefettizio";"03/10/2021";"13/01/2025"
"16";"078";"0150";"MASSAFRA";"TA";"32381";"TARSIA";"EUFEMIA";"Commissario Straordinario";"03/10/2021";"25/11/2024"
"16";"106";"0070";"SAN FERDINANDO DI PUGLIA";"BT";"13916";"MAZZIA";"SERGIO";"Commissario Straordinario";"12/06/2022";"13/11/2024"
"17";"047";"0140";"MATERA";"MT";"59796";"RUBERTO";"RAFFAELE";"Commissario Straordinario";"20/09/2020";"13/11/2024"
"17";"064";"0060";"ATELLA";"PZ";"3681";"INCOLLINGO";"ANTONIO";"Commissario Straordinario";"14/05/2023";"03/06/2024"
"17";"064";"0420";"LAVELLO";"PZ";"13028";"CANALE";"GIUSEPPE";"Commissario Straordinario";"14/05/2023";"20/12/2024"
"17";"064";"0840";"SENISE";"PZ";"7127";"GENTILE";"ALBERICO";"Commissario Straordinario";"20/09/2020";"18/04/2024"
"18";"022";"0260";"CERVA";"CZ";"1269";"CARIDI";"LUCIANO";"Commissione Straordinaria";"12/06/2022";"09/05/2024"
"18";"022";"0260";"CERVA";"CZ";"1269";"GUERRIERI";"LUIGI";"Commissione Straordinaria";"12/06/2022";"09/05/2024"
"18";"022";"0260";"CERVA";"CZ";"1269";"TEDESCO";"SALVATORE";"Commissione Straordinaria";"12/06/2022";"09/05/2024"
"18";"022";"0670";"MAIDA";"CZ";"4457";"PINO";"COSTANZA";"Commissario Straordinario";"12/06/2022";"04/09/2024"
"18";"025";"1030";"RENDE";"CS";"33555";"ALBERTINI";"MICHELE";"Commissione Straordinaria";"26/05/2019";"28/06/2023"
