AMBASCIATORE,sesso,nome
UGOLINI SABRINA,F,Sabrina
CUTILLO ALBERTO,M,Alberto
BUCCINO GRIMALDI GIUSEPPE MARIA,M,Giuseppe Maria
RICCI MARCO,M,Marco
NICOLETTI FABRIZIO,M,Fabrizio
BALDOCCI CARLO,M,Carlo
LUCENTINI FABRIZIO,M,Fabrizio
FERRANTI ALESSANDRO,M,Alessandro
CRUDELE PAOLO,M,Paolo
PUGLIESE GIOVANNI,M,Giovanni
DI GIANFRANCESCO LUCA,M,Luca
ZAPPIA MARIA ANGELA,F,Maria Angela
CATALANO ANDREA,M,Andrea
ALESSANDRO ANTONIO,M,Antonio
FAVI FEDERICA,F,Federica
MODIANO ALESSANDRO,M,Alessandro
DE LEO STEFANO,M,Stefano
MARCHEGIANI TOMASO PIETRO,M,Tommaso Pietro
MESSINEO FABIO,M,Fabio
CASTELLANI SARAH ETI,F,Sarah Eti
ANNIS GABRIELE PHILLIP,M,Gabriele Phillip
CORTESE ALESSANDRO,M,Alessandro
BRANDI DANTE,M,Dante
ZARRA GIUSEPPINA,F,Giuseppina
DI MUZIO GABRIELE,M,Gabriele
MASSONI MAURO,M,Mauro
SCAMMACCA del MURGO FILIPPO,M,Filippo
CATTANEO ALESSANDRO,M,Alessandro
BERTOLINI CATERINA,F,Caterina
BIAGIOTTI VALERIA,F,Valeria
FERRARI BRAVO FEDERICA,F,Federica
CURCIO GIANCARLO MARIA,M,Giancarlo Maria
COPPOLA GIUSEPPE SEAN,M,Giuseppe Sean
LUZZI ARTURO,M,Arturo
COLELLA ALBERTO,M,Alberto
TRICHILO PAOLO,M,Paolo
VELLANO ROBERTO,M,Roberto
ROSINI STEFANIA,F,Stefania
DAVOLI GIOVANNI,M,Giovanni
QUARONI MICHELE,M,Michele
ROZO SORDINI PAOLO EMANUELE,M,Paolo Emanuele
FANARA LORENZO,M,Lorenzo
DI RISO ALFONSO,M,Alfonso
CATANI STEFANO,M,Stefano
PALESE AGOSTINO,M,Agostino
PICCIONI CECILIA,F,Cecilia
GIGLIO DAVIDE,M,Davide
TODARO MARESCOTTI NICOLA,M,Nicola
D'ALESSANDRO EMANUELA,F,Emanuela
MOSCATELLI STEFANO,M,Stefano
D'ANTUONO MASSIMILIANO,M,Massimiliano
BUCCI FABRIZIO,M,Fabrizio
BENEDETTI GIANLUIGI,M,Gianluigi
PEZZOTTI LUCIANO,M,Luciano
CUCULI PAOLO,M,Paolo
DE NICOLO PAOLO,M,Paolo
QUEIROLO PALMAS STEFANO,M,Stefano
BARTOLI ANTONIO ENRICO,M,Antonio Enrico
COLAMINE' ROBERTO,M,Roberto
AMADEI PAOLA,F,Paola
FAGANELLO NICOLA,M,Nicola
NICOLETTI STEFANO,M,Stefano
CALOGERO FRANCESCO,M,Francesco
FERRARI LUCA,M,Luca
NATALI ROBERTO,M,Roberto
DE RIU ANTONELLO,M,Antonello
MORINI LORENZO,M,Lorenzo
MONTI ALESSANDRO,M,Alessandro
MARCELLI FABRIZIO,M,Fabrizio
ALBERINI GIANLUCA,M,Gianluca
CORNADO GIAN LORENZO,M,Gian Lorenzo
de MAIGRET EMANUELE,M,Emanuele
ROBUSTELLI CARMINE,M,Carmine
RUSTICO MASSIMO,M,Massimo
FRANCOVIGH DAMIANO,M,Damiano
DEJAK STEFANO ANTONIO,M,Stefano Antonio
ROMANO FABRIZIO,M,Fabrizio
BARUCCO ARMANDO,M,Armando
BOTTA' LAURA,F,Laura
TOMASSONI LORENZO,M,Lorenzo
RUOSI MANUELA,F,Manuela
PICCARRETA GIOVANNA,F,Giovanna
MARSELLA ANDREINA,F,Andreina
TASSONI ESTENSE di CASTELVECCHIO NICOLO',M,Nicolò
DE SANTI SIMONE,M,Simone
ORLANDO ROBERTO,M,Roberto
D'ELIA PIERLUIGI,M,Pierluigi
CELESTE VINCENZO,M,Vincenzo
NOVELLO GIORGIO,M,Giorgio
ARMELLIN MARILINA,F,Marilina
FONDI MARCELLO,M,Marcello
MAZZANTI MASSIMILIANO,M,Massimiliano
FRANCHETTI PARDO LUCA,M,Luca
MISCIA CLAUDIO,M,Claudio
TOSCHI PAOLO,M,Paolo
LAMBERTINI INIGO,M,Inigo
MARSILI MAURO,M,Mauro
NUNZIATA ENRICO,M,Enrico
SORRENTINO SABATO FRANCO,M,Sabato Franco
GATTO EMILIA,F,Emilia
PALMINTERI PAOLO,M,Paolo
AMBROSETTI MASSIMO,M,Massimo
DURANTE MANGONI ALFREDO MARIA,M,Alfredo
COLACECI FABRIZIO,M,Fabrizio
DI NITTO FRANCESCO,M,Francesco
GORI LUCA,M,Luca
RAVAGNAN STEFANO,M,Stefano
DE FELICE GIANCLEMENTE,M,Gianclemente
CAVAGNA GIUSEPPE,M,Giuseppe
DACCÒ COPPI PIER MARIO,M,Pier Mario
TOMMASI MICHELE,M,Michele
PALA MICHELE,M,Michele
PRUNAS ALESSANDRO,M,Alessandro
MARRAPODI GIORGIO,M,Giorgio
FERRARI LUIGI,M,Luigi
FORMOSA CARLO,M,Carlo
JACOANGELI MANUEL,M,Manuel
PETRI FABRIZIO,M,Fabrizio
DE VITO GIOVANNI UMBERTO,M,Giovanni
della SETA MARCO,M,Marco
DE AGOSTINI ENRICO,M,Enrico
MALNATI UMBERTO,M,Umberto
